match_id,date,patch,tournament,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,blue_win,data_source,red_win
LCK/2026 Season/Rounds 1-2_Week 8_4_3,2026-05-21 12:22:00,26.10,LCK 2026 Rounds 1-2,HANJIN BRION,Dplus Kia,Dplus Kia,"[""Nocturne"", ""Varus"", ""Elise"", ""Gnar"", ""Alistar""]","[""Lee Sin"", ""Lucian"", ""Ryze"", ""Sion"", ""Twisted Fate""]","[""Karma"", ""Wukong"", ""Yunara"", ""Taliyah"", ""Illaoi""]","[""Jhin"", ""Annie"", ""Naafiri"", ""Renekton"", ""Neeko""]",[],[],0,leaguepedia_cargo_patch_range,1
VCS/2026 Season/Summer Season_Week 2_4_2,2026-05-21 12:59:00,26.09,VCS 2026 Summer,ZEN Esports (Vietnamese Team),9Gaming,ZEN Esports (Vietnamese Team),"[""Varus"", ""Ryze"", ""Nocturne"", ""Naafiri"", ""Vi""]","[""Orianna"", ""Karma"", ""Pantheon"", ""Milio"", ""Nami""]","[""Lucian"", ""Lee Sin"", ""Annie"", ""Pyke"", ""Jayce""]","[""Caitlyn"", ""Lux"", ""Galio"", ""Volibear"", ""Yorick""]",[],[],1,leaguepedia_cargo_patch_range,0
Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_2_1,2026-05-21 15:08:00,26.10,PRM 1st Division 2026 Spring Playoffs,Unicorns of Love Sexy Edition,G2 NORD,G2 NORD,"[""Varus"", ""Nautilus"", ""Jarvan IV"", ""Gwen"", ""Ambessa""]","[""Seraphine"", ""Ezreal"", ""Orianna"", ""Renekton"", ""Sion""]","[""Caitlyn"", ""Karma"", ""Xin Zhao"", ""Ahri"", ""Aurora""]","[""Pantheon"", ""Bard"", ""Jhin"", ""Anivia"", ""Yorick""]",[],[],0,leaguepedia_cargo_patch_range,1
TCL/2026 Season/Spring Playoffs_Round 2_1_1,2026-05-21 15:12:00,26.10,TCL 2026 Spring Playoffs,Misa Esports,Ozarox Esports,Misa Esports,"[""Nautilus"", ""Ambessa"", ""Varus"", ""Anivia"", ""Aurora""]","[""Karma"", ""Orianna"", ""Ashe"", ""Xin Zhao"", ""Jarvan IV""]","[""Lucian"", ""Milio"", ""Cassiopeia"", ""Gwen"", ""Wukong""]","[""Pantheon"", ""Kalista"", ""Renata Glasc"", ""Sion"", ""Viktor""]",[],[],1,leaguepedia_cargo_patch_range,0
LES/2026 Season/Spring Split_Week 7_3_1,2026-05-21 15:13:00,26.10,LES 2026 Spring,Falke Esports,GIANTX iTero,GIANTX iTero,"[""Shen"", ""Bard"", ""Nautilus"", ""Karma"", ""Nami""]","[""Pantheon"", ""Seraphine"", ""Akali"", ""Neeko"", ""Alistar""]","[""Orianna"", ""Jarvan IV"", ""Jhin"", ""Rell"", ""Gnar""]","[""Ezreal"", ""Nocturne"", ""Galio"", ""Rakan"", ""Vayne""]",[],[],0,leaguepedia_cargo_patch_range,1
Rift Legends/2026 Season/Spring Split_Week 6_5_1,2026-05-21 15:16:00,26.10,Rift Legends 2026 Spring,Forsaken (Polish Team),DOCISK,Forsaken (Polish Team),"[""Xin Zhao"", ""Orianna"", ""Ezreal"", ""Ryze"", ""Yorick""]","[""Rumble"", ""Karma"", ""Vi"", ""LeBlanc"", ""Gnar""]","[""Jarvan IV"", ""Ashe"", ""Seraphine"", ""Akali"", ""K'Sante""]","[""Lucian"", ""Lee Sin"", ""Milio"", ""Sion"", ""Aurora""]",[],[],1,leaguepedia_cargo_patch_range,0
Streamers Clash/Season 4_Day 4_1_1,2026-05-21 15:41:00,26.10,Streamers Clash Season 4,SPAJKOVI UKRADLI SUPERSTRIKE,VEDICI DEEMONS,VEDICI DEEMONS,"[""Nautilus"", ""Skarner"", ""Malphite"", ""Zed"", ""Naafiri""]","[""Udyr"", ""Yone"", ""Yuumi"", ""Nasus"", ""Kayle""]","[""Seraphine"", ""Gwen"", ""Braum"", ""Sion"", ""Jarvan IV""]","[""Maokai"", ""Vayne"", ""Jinx"", ""Lillia"", ""Amumu""]",[],[],0,leaguepedia_cargo_patch_range,1
Prime League 1st Division/2026 Season/Spring Playoffs_Quarterfinals_2_2,2026-05-21 16:01:00,26.10,PRM 1st Division 2026 Spring Playoffs,G2 NORD,Unicorns of Love Sexy Edition,G2 NORD,"[""Nautilus"", ""Varus"", ""Nocturne"", ""Aatrox"", ""Jayce""]","[""Orianna"", ""Seraphine"", ""Rumble"", ""Viktor"", ""Akali""]","[""Lucian"", ""Jarvan IV"", ""Nami"", ""Hwei"", ""Renekton""]","[""Yunara"", ""Milio"", ""Wukong"", ""Cassiopeia"", ""Gnar""]",[],[],1,leaguepedia_cargo_patch_range,0
Road Of Legends/2026 Season/Spring Playoffs_Round 1_3_1,2026-05-21 16:03:00,26.10,Road Of Legends 2026 Spring Playoffs,Once Upon A Team,Dynasty,Once Upon A Team,"[""Sion"", ""Zed"", ""Yasuo"", ""Viktor"", ""Syndra""]","[""Orianna"", ""Zoe"", ""Ambessa"", ""Taliyah"", ""Aatrox""]","[""Pantheon"", ""Nautilus"", ""Ezreal"", ""Ryze"", ""Gnar""]","[""Xin Zhao"", ""Karma"", ""Varus"", ""Ornn"", ""Anivia""]",[],[],1,leaguepedia_cargo_patch_range,0
Esports Balkan League/2026 Season/Spring Playoffs_Round 4_1_1,2026-05-21 16:04:00,26.10,EBL 2026 Spring Playoffs,Magaza Esports,Partizan Sangal,Partizan Sangal,"[""Nautilus"", ""Aurora"", ""Zaahen"", ""Gnar"", ""Vayne""]","[""Orianna"", ""Wukong"", ""Jarvan IV"", ""Syndra"", ""Mel""]","[""Xin Zhao"", ""Lucian"", ""Milio"", ""K'Sante"", ""LeBlanc""]","[""Ashe"", ""Seraphine"", ""Ryze"", ""Pantheon"", ""Varus""]",[],[],0,leaguepedia_cargo_patch_range,1
