match_id,date,patch,tournament,blue_team,red_team,winner,blue_bans,red_bans,blue_picks,red_picks,blue_roster,red_roster,blue_win,data_source,red_win,pick_source
TCL/2026 Season/Spring Split_Week 6_1_1,2026-05-11 14:30:00,26.09,TCL 2026 Spring,SU Esports,Ozarox Esports,Ozarox Esports,"['Kalista', 'Ezreal', 'Nautilus', 'Aurora', 'LeBlanc']","['Orianna', 'Ashe', 'Karma', 'Ahri', 'Syndra']","['Gwen', 'Jarvan IV', 'Ryze', 'Jinx', 'Lulu']","['Sion', 'Xin Zhao', 'Anivia', 'Lucian', 'Nami']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
Prime League 1st Division/2026 Season/Spring Split_Week 7_1_1,2026-05-11 15:09:00,26.09,PRM 1st Division 2026 Spring,Eintracht Frankfurt,G2 NORD,G2 NORD,"['Nautilus', 'Bard', 'Vi', 'Ryze', 'Rumble']","['Orianna', 'Jarvan IV', 'Seraphine', 'Anivia', 'Jayce']","['Sion', 'Xin Zhao', 'Ahri', 'Ezreal', 'Nami']","['Gwen', 'Pantheon', 'Aurora', 'Sivir', 'Karma']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_1_1,2026-05-11 15:18:00,26.09,Hitpoint 2nd Div Challengers 2026 Spring,Andromeda Gaming,Ethereal Enigmas,Andromeda Gaming,"['Ivern', 'Lucian', 'Renekton', 'Caitlyn', 'Varus']","['Karma', 'Yunara', 'Vi', 'Rakan', 'Seraphine']","['Ambessa', 'Wukong', 'Ahri', 'Xayah', 'Pyke']","['Camille', 'Jarvan IV', 'Taliyah', 'Brand', 'Nami']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
TCL/2026 Season/Spring Split_Week 6_1_2,2026-05-11 15:56:00,26.09,TCL 2026 Spring,Ozarox Esports,SU Esports,Ozarox Esports,"['Nautilus', 'Orianna', 'Nocturne', 'Caitlyn', 'Tristana']","['Ashe', 'Karma', 'Pantheon', 'LeBlanc', 'Aurora']","['Rumble', 'Zaahen', 'Viktor', 'Kalista', 'Renata Glasc']","[""K'Sante"", 'Vi', 'Ahri', 'Aphelios', 'Rell']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
Prime League 1st Division/2026 Season/Spring Split_Week 7_1_2,2026-05-11 16:09:00,26.09,PRM 1st Division 2026 Spring,G2 NORD,Eintracht Frankfurt,G2 NORD,"['Nautilus', 'Varus', 'Bard', 'Nocturne', 'Anivia']","['Orianna', 'Jarvan IV', 'Ryze', 'Vi', 'Naafiri']","['Rumble', 'Lee Sin', 'Annie', 'Ashe', 'Seraphine']","[""K'Sante"", 'Jayce', 'Sylas', 'Ziggs', 'Pyke']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_1_2,2026-05-11 16:18:00,26.09,Hitpoint 2nd Div Challengers 2026 Spring,Andromeda Gaming,Ethereal Enigmas,Ethereal Enigmas,"['Orianna', 'Lucian', 'Ashe', 'Draven', 'Corki']","['Yunara', 'Aurora', 'Vi', 'Vayne', 'Anivia']","['Sylas', 'Ivern', 'Yone', ""Kai'Sa"", 'Nautilus']","['Gnar', 'Nunu &amp; Willump', 'Azir', 'Caitlyn', 'Braum']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
TCL/2026 Season/Spring Split_Week 6_2_1,2026-05-11 16:58:00,26.09,TCL 2026 Spring,BoostGate Esports,Team Phoenix (Turkish Team),BoostGate Esports,"['Neeko', 'Ezreal', 'Nautilus', 'Lucian', 'Varus']","['Rumble', ""K'Sante"", 'Karma', 'Ashe', 'Caitlyn']","['Gnar', 'Xin Zhao', 'Aurora', 'Yunara', 'Lulu']","['Renekton', 'Naafiri', 'Sylas', 'Xayah', 'Rakan']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_1_3,2026-05-11 17:01:00,26.09,Hitpoint 2nd Div Challengers 2026 Spring,Ethereal Enigmas,Andromeda Gaming,Ethereal Enigmas,"['Yunara', 'Vi', 'Karma', 'Pantheon', 'Nocturne']","['Lucian', 'Zaahen', 'Orianna', 'Twitch', 'Corki']","['Aurora', 'Xin Zhao', 'Akali', 'Jhin', 'Bard']","['Lee Sin', 'Hecarim', 'Viktor', 'Ashe', 'Seraphine']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
Prime League 1st Division/2026 Season/Spring Split_Week 7_2_1,2026-05-11 17:05:00,26.09,PRM 1st Division 2026 Spring,Kaufland Hangry Knights,TeamOrangeGaming,Kaufland Hangry Knights,"['Nautilus', 'Pyke', 'Jarvan IV', 'Aurora', 'Jayce']","['Orianna', 'Pantheon', 'Lucian', 'Aatrox', 'Vi']","['Rumble', 'Nocturne', 'Annie', 'Caitlyn', 'Karma']","['Varus', 'Skarner', 'Azir', 'Ezreal', 'Bard']",[],[],1,leaguepedia_cargo_patch_range,0,scoreboard_players_corrected
TCL/2026 Season/Spring Split_Week 6_2_2,2026-05-11 17:47:00,26.09,TCL 2026 Spring,BoostGate Esports,Team Phoenix (Turkish Team),Team Phoenix (Turkish Team),"['Neeko', 'Ezreal', 'Nautilus', 'LeBlanc', 'Akali']","['Rumble', ""K'Sante"", 'Nocturne', 'Vladimir', 'Jayce']","['Gwen', 'Jarvan IV', 'Viktor', 'Caitlyn', 'Senna']","['Sion', 'Aatrox', 'Ahri', 'Varus', 'Bard']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_2_1,2026-05-11 17:54:00,26.09,Hitpoint 2nd Div Challengers 2026 Spring,EXILE esports Academy,Rugby Club Havířov,Rugby Club Havířov,"[""K'Sante"", 'Ahri', 'Smolder', 'Jarvan IV', 'Vi']","['Naafiri', 'Xerath', 'Karma', 'Bard', 'Nautilus']","['Volibear', 'Xin Zhao', 'Syndra', 'Ezreal', 'Nami']","['Sion', 'Pantheon', 'Viktor', 'Ashe', 'Seraphine']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
Prime League 1st Division/2026 Season/Spring Split_Week 7_2_2,2026-05-11 18:04:00,26.09,PRM 1st Division 2026 Spring,Kaufland Hangry Knights,TeamOrangeGaming,TeamOrangeGaming,"['Nautilus', 'Pyke', 'Jarvan IV', 'Lulu', 'Malphite']","['Orianna', 'Pantheon', 'Lucian', 'Ashe', 'Nami']","['Gnar', 'Jayce', 'Aurora', ""Kai'Sa"", 'Neeko']","['Shyvana', 'Xin Zhao', 'Ahri', 'Yunara', 'Blitzcrank']",[],[],0,leaguepedia_cargo_patch_range,1,scoreboard_players_corrected
