match_id,side_proxy,team,old_picks,scoreboard_picks,corrected,scoreboard_pick_count
LEC/2026 Season/Spring Season_Week 6_2_2,blue,SK Gaming,Ezreal + Nami + Xin Zhao + Ahri + Gnar,Anivia + Vi + Yasuo + Kai'Sa + Rakan,True,5
LEC/2026 Season/Spring Season_Week 6_2_2,red,Team Vitality,Kai'Sa + Vi + Rakan + Anivia + Yasuo,Gnar + Xin Zhao + Ahri + Ezreal + Nami,True,5
CBLOL/2026 Season/Split 1_Week 6_2_1,blue,RED Canids,Xin Zhao + Annie + K'Sante + Zeri + Yuumi,Rumble + Trundle + Anivia + Varus + Alistar,True,5
CBLOL/2026 Season/Split 1_Week 6_2_1,red,FURIA,Varus + Rumble + Trundle + Anivia + Alistar,K'Sante + Xin Zhao + Annie + Zeri + Yuumi,True,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_1,blue,Pyramid IV Esports,Ambessa + Kai'Sa + Olaf + Rell + Hwei,Olaf + Ambessa + Hwei + Kai'Sa + Rell,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_1,red,Lunaris Esports (MENA Team),Wukong + Ezreal + Nautilus + Jax + Ahri,Jax + Wukong + Ahri + Ezreal + Nautilus,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_5_1,blue,Victorious Demons,Ryze + Jarvan IV + Neeko + Corki + Ornn,Ornn + Jarvan IV + Ryze + Corki + Neeko,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_5_1,red,NextGeneration Esports,Syndra + Wukong + K'Sante + Nami + Caitlyn,K'Sante + Wukong + Syndra + Caitlyn + Nami,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_3_1,blue,JSK Academy,Caitlyn + Wukong + Neeko + Galio + Gwen,Gwen + Wukong + Galio + Caitlyn + Neeko,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_3_1,red,Team Depressed,Ezreal + Xin Zhao + Bard + Akali + Taliyah,Akali + Xin Zhao + Taliyah + Ezreal + Bard,False,5
LEC/2026 Season/Spring Season_Week 6_2_3,blue,Team Vitality,Ryze + Lulu + Kog'Maw + Zaahen + Irelia,Aatrox + Wukong + Syndra + Lucian + Milio,True,5
LEC/2026 Season/Spring Season_Week 6_2_3,red,SK Gaming,Lucian + Milio + Syndra + Wukong + Aatrox,Ryze + Zaahen + Irelia + Kog'Maw + Lulu,True,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_2,blue,Lunaris Esports (MENA Team),Orianna + Vi + Rumble + Draven + Thresh,Rumble + Vi + Orianna + Draven + Thresh,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_4_2,red,Pyramid IV Esports,Xin Zhao + LeBlanc + K'Sante + Tristana + Braum,K'Sante + Xin Zhao + LeBlanc + Tristana + Braum,False,5
CBLOL/2026 Season/Split 1_Week 6_2_2,blue,RED Canids,Nocturne + Lucian + Nami + Renekton + Ryze,Renekton + Nocturne + Ryze + Lucian + Nami,False,5
CBLOL/2026 Season/Split 1_Week 6_2_2,red,FURIA,Orianna + Milio + Caitlyn + Pantheon + Gnar,Gnar + Pantheon + Orianna + Caitlyn + Milio,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_3_2,blue,JSK Academy,Jarvan IV + Lulu + Tristana + Sion + Zoe,Sion + Jarvan IV + Zoe + Tristana + Lulu,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_3_2,red,Team Depressed,Yunara + Pantheon + Braum + Orianna + Ambessa,Ambessa + Pantheon + Orianna + Yunara + Braum,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_5_2,blue,Victorious Demons,Bard + Ezreal + Pantheon + Taliyah + Rumble,Rumble + Pantheon + Taliyah + Ezreal + Bard,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_5_2,red,NextGeneration Esports,Xin Zhao + Ashe + Seraphine + Akali + Kennen,Kennen + Xin Zhao + Akali + Ashe + Seraphine,False,5
CBLOL/2026 Season/Split 1_Week 6_2_3,blue,FURIA,Aatrox + Neeko + Jhin + Jayce + Aurora,Sion + Zaahen + Twisted Fate + Yunara + Lulu,True,5
CBLOL/2026 Season/Split 1_Week 6_2_3,red,RED Canids,Yunara + Lulu + Zaahen + Twisted Fate + Sion,Aatrox + Jayce + Aurora + Jhin + Neeko,True,5
LCS/2026 Season/Spring Season_Week 5_1_1,blue,Dignitas,Seraphine + Ezreal + Annie + Ornn + Wukong,Rumble + Jarvan IV + Hwei + Ashe + Lulu,True,5
LCS/2026 Season/Spring Season_Week 5_1_1,red,Cloud9,Ashe + Jarvan IV + Lulu + Rumble + Hwei,Ornn + Wukong + Annie + Ezreal + Seraphine,True,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_5_3,blue,NextGeneration Esports,Gragas + Sejuani + Irelia + Varus + Thresh,Gragas + Sejuani + Irelia + Varus + Thresh,False,5
Arabian League 2nd Division/2026 Season/Spring Split_Week 4_5_3,red,Victorious Demons,Vayne + Jax + LeBlanc + Yunara + Alistar,Vayne + Jax + LeBlanc + Yunara + Alistar,False,5
LCS/2026 Season/Spring Season_Week 5_1_2,blue,Cloud9,Varus + Nocturne + Neeko + Caitlyn + Galio,Varus + Nocturne + Galio + Caitlyn + Neeko,False,5
LCS/2026 Season/Spring Season_Week 5_1_2,red,Dignitas,Lucian + Taliyah + Nami + Xin Zhao + Jax,Jax + Xin Zhao + Taliyah + Lucian + Nami,False,5
LCS/2026 Season/Spring Season_Week 5_1_3,blue,Dignitas,Vi + Xayah + Rakan + Sion + Viktor,Sion + Vi + Viktor + Xayah + Rakan,False,5
LCS/2026 Season/Spring Season_Week 5_1_3,red,Cloud9,Sejuani + Corki + Cassiopeia + Alistar + Gnar,Gnar + Sejuani + Cassiopeia + Corki + Alistar,False,5
LCS/2026 Season/Spring Season_Week 5_2_1,blue,Disguised,Seraphine + Ashe + Ornn + Yone + Sejuani,Rumble + Pantheon + Ryze + Ezreal + Nami,True,5
