combo_size,composition,team_has_op,combo_contains_op,games,wins,example_matches,op_champions,win_rate,smoothed_win_rate,op_status_baseline_win_rate,lift_vs_op_status_baseline,lift_vs_global_50
3,Bard + Jarvan IV + K'Sante,False,False,8,7,"Arabian League/2026 Season/Spring Split_Last Chance_1_2, North American Challengers League/2026 Season/Spring Season_Week 7_5_1, LCK CL/2026 Season/Rounds 1-2_Week 8_7_1",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
3,Cassiopeia + Nautilus + Rumble,False,False,8,7,"LCP/2026 Season/Split 2_Week 5_4_1, LCP/2026 Season/Split 2_Week 7_4_1, LCP/2026 Season/Split 2 Playoffs_Round 1_1_1",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
3,Ezreal + Karma + Skarner,False,False,8,7,"LEC/2026 Season/Spring Season_Week 7_5_2, North American Challengers League/2026 Season/Spring Playoffs_Round 1_2_1, LJL/2026 Season/Spring Series_Week 4_3_2",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
3,Jhin + K'Sante + Karma,False,False,8,7,"LPL/2026 Season/Split 2_Week 6_8_1, LPLOL/2026 Season/Spring Split_Week 3_5_1, LPL/2026 Season/Split 2_Week 7_11_2",,0.875,0.7307692307692307,0.49884348496530456,0.23192574580392616,0.23076923076923073
2,Corki + Nocturne,False,False,19,15,"CBLOL/2026 Season/Split 1_Week 6_3_3, CBLOL/2026 Season/Split 1_Week 6_4_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_2_1",,0.7894736842105263,0.7291666666666666,0.49884348496530456,0.23032318170136207,0.22916666666666663
2,Cassiopeia + Lucian,False,False,30,23,"Esports World Cup 2026/Online Qualifiers/Korea_Round 1_4_2, LCP/2026 Season/Split 2_Week 6_2_2, LCS/2026 Season/Spring Season_Week 6_3_1",,0.7666666666666667,0.7285714285714285,0.49884348496530456,0.22972794360612397,0.22857142857142854
2,Ryze + Vayne,False,False,15,12,"Esports Balkan League/2026 Season/Spring Playoffs_Round 1_1_1, North American Challengers League/2026 Season/Spring Season_Week 7_2_3, LPL/2026 Season/Split 2_Week 6_10_2",,0.8,0.725,0.49884348496530456,0.22615651503469542,0.22499999999999998
2,Aatrox + Hwei,False,False,4,4,"Prime League 1st Division/2026 Season/Spring Split_Week 6_2_2, LES/2026 Season/Spring Split_Week 5_2_2, Hitpoint Masters/2026 Season/Spring Split_Week 4_3_3",,1.0,0.7222222222222222,0.49884348496530456,0.22337873725691765,0.2222222222222222
2,Akali + Gwen,False,False,4,4,"LPL/2026 Season/Split 2_Week 6_7_1, LFL/2026 Season/Spring Playoffs_Round 2_4_1, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 2_1_1",,1.0,0.7222222222222222,0.49884348496530456,0.22337873725691765,0.2222222222222222
2,Ambessa + Pyke,False,False,4,4,"Hitpoint 2nd Division Challengers/2026 Season/Spring Split_Week 4_1_1, VCS/2026 Season/Summer Season_Week 3_1_2, Esports World Cup 2026/Online Qualifiers/South America_Round 1_1_2",,1.0,0.7222222222222222,0.49884348496530456,0.22337873725691765,0.2222222222222222
2,Amumu + Galio,False,False,4,4,"Streamers Clash/Season 4_Day 3_3_1, Streamers Clash/Season 4_Day 4_3_1, Streamers Clash/Season 4_Day 5_2_1",,1.0,0.7222222222222222,0.49884348496530456,0.22337873725691765,0.2222222222222222
2,Anivia + Pyke,False,False,4,4,"Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 1_1_1, Esports Balkan League/2026 Season/Spring Playoffs_Round 1_4_2, LFL/2026 Season/Spring Playoffs_Round 1_6_1",,1.0,0.7222222222222222,0.49884348496530456,0.22337873725691765,0.2222222222222222
2,Bard + Ziggs,False,False,4,4,"Prime League 1st Division/2026 Season/Spring Split_Week 7_3_1, Esports World Cup 2026/Online Qualifiers/Asia-Pacific_Round 4_1_2, LPLOL/2026 Season/Spring Playoffs_Semifinals_1_4",,1.0,0.7222222222222222,0.49884348496530456,0.22337873725691765,0.2222222222222222
