combo_size,opponent_combo,games_against_op,wins_against_op,example_winning_matches,faced_op_champions,win_rate_against_op,smoothed_win_rate_against_op
3,Lucian + Milio + Wukong,4,2,"LCS/2026 Season/Spring Playoffs_Round 2_2_1, EMEA Masters/2026 Season/Spring Main Event_Semifinals_1_1","Nocturne, Senna",0.5,0.5
3,Ahri + Bard + Sion,2,1,TCL/2026 Season/Spring Split_Week 6_2_2,"Nocturne, Senna",0.5,0.5
3,Ahri + Karma + Xin Zhao,2,1,LCK/2026 Season/Road to MSI_Round 4_1_4,"Nocturne, Senna",0.5,0.5
3,Ahri + Lucian + Milio,2,1,LCK/2026 Season/Rounds 1-2_Week 9_1_2,Senna,0.5,0.5
3,Annie + Ashe + Lulu,2,1,Rift Legends/2026 Season/Spring Split_Week 5_4_2,Senna,0.5,0.5
3,Ashe + Aurora + Jarvan IV,2,1,Esports World Cup 2026/Online Qualifiers/South America_Round 2_1_3,"Nocturne, Senna",0.5,0.5
3,Ashe + Hwei + Wukong,2,1,LIT/2026 Season/Summer Promotion_Semifinals_2_3,Senna,0.5,0.5
3,Aurora + K'Sante + Lucian,2,1,Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1,"Nocturne, Senna",0.5,0.5
3,Aurora + K'Sante + Milio,2,1,Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1,"Nocturne, Senna",0.5,0.5
3,Aurora + Leona + Yorick,2,1,Esports World Cup 2026/Online Qualifiers/South America_Round 2_1_3,Nocturne,0.5,0.5
3,Bard + Ezreal + Twisted Fate,2,1,EMEA Masters/2026 Season/Spring Play-In_Round 3_6_1,"Nocturne, Senna",0.5,0.5
3,Cassiopeia + Rell + Wukong,2,1,LES/2026 Season/Spring Split_Week 7_2_2,"Nocturne, Senna",0.5,0.5
3,Ezreal + Jarvan IV + Orianna,2,1,TCL/2026 Season/Spring Split_Week 6_5_1,"Nocturne, Senna",0.5,0.5
3,Gnar + Lucian + Milio,2,1,VCS/2026 Season/Summer Season_Week 2_5_2,"Nocturne, Senna",0.5,0.5
3,Gnar + Lucian + Skarner,2,1,VCS/2026 Season/Summer Season_Week 2_5_2,"Nocturne, Senna",0.5,0.5
3,Gnar + Milio + Skarner,2,1,VCS/2026 Season/Summer Season_Week 2_5_2,"Nocturne, Senna",0.5,0.5
3,Gragas + Karma + Xin Zhao,2,1,North American Challengers League/2026 Season/Spring Season_Week 7_6_2,Senna,0.5,0.5
3,Hwei + Lucian + Milio,2,1,North American Challengers League/2026 Season/Spring Playoffs_Round 3_1_3,Senna,0.5,0.5
3,Jarvan IV + Nautilus + Orianna,2,1,VCS/2026 Season/Summer Playoffs_Round 1_3_1,Nocturne,0.5,0.5
3,Jarvan IV + Rumble + Taliyah,2,1,EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_2_3,Nocturne,0.5,0.5
3,Karma + Sion + Sivir,2,1,Liga Regional Sur/2026 Season/Split 1 Playoffs_Finals_1_1,Nocturne,0.5,0.5
3,Lee Sin + Ryze + Zaahen,2,1,LCS/2026 Season/Spring Playoffs_Round 3_1_1,Nocturne,0.5,0.5
3,Lucian + Milio + Nocturne,2,1,LCK/2026 Season/Rounds 1-2_Week 6_2_2,Senna,0.5,0.5
3,Lucian + Milio + Orianna,2,1,Esports World Cup 2026/Online Qualifiers/South America_Round 2_4_1,"Nocturne, Senna",0.5,0.5
3,Lucian + Milio + Ryze,2,1,LCS/2026 Season/Spring Playoffs_Round 2_2_1,"Nocturne, Senna",0.5,0.5
3,Lucian + Milio + Skarner,2,1,VCS/2026 Season/Summer Season_Week 2_5_2,"Nocturne, Senna",0.5,0.5
3,Lucian + Milio + Sylas,2,1,Esports World Cup 2026/Online Qualifiers/South America_Round 2_4_1,"Nocturne, Senna",0.5,0.5
3,Lucian + Milio + Xin Zhao,2,1,Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1,"Nocturne, Senna",0.5,0.5
3,Nami + Renekton + Wukong,2,1,Nexus League/2026 Season/Spring Split_Week 6_8_1,Senna,0.5,0.5
3,Nautilus + Ryze + Shyvana,2,1,Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Finals_1_4,"Nocturne, Senna",0.5,0.5
3,Nautilus + Ryze + Xin Zhao,2,1,CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_2,"Nocturne, Senna",0.5,0.5
3,Pantheon + Ryze + Vayne,2,1,Hitpoint Masters/2026 Season/Spring Split_Week 4_4_1,Senna,0.5,0.5
3,Vi + Yorick + Yunara,2,1,2026 Asia Masters_Day 2_2_2,"Nocturne, Senna",0.5,0.5
2,Ashe + Lulu,9,4,"Rift Legends/2026 Season/Spring Split_Week 5_4_2, LPL/2026 Season/Split 2_Week 6_7_2, CBLOL/2026 Season/Split 1 Playoffs_Round 4_1_2",Senna,0.4444444444444444,0.4642857142857143
2,Ahri + Vi,5,2,"LCK/2026 Season/Rounds 1-2_Week 9_1_2, 2026 Asia Masters_Day 2_2_2","Nocturne, Senna",0.4,0.45
2,Aurora + Lucian,5,2,"VCS/2026 Season/Summer Season_Week 2_5_2, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1","Nocturne, Senna",0.4,0.45
2,Aurora + Milio,5,2,"VCS/2026 Season/Summer Season_Week 2_5_2, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1","Nocturne, Senna",0.4,0.45
2,Bard + Ezreal,5,2,"TCL/2026 Season/Spring Split_Week 6_5_1, EMEA Masters/2026 Season/Spring Play-In_Round 3_6_1","Nocturne, Senna",0.4,0.45
2,K'Sante + Lucian,5,2,"Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_8_2","Nocturne, Senna",0.4,0.45
2,Nautilus + Ryze,5,2,"CBLOL/2026 Season/Split 1 Playoffs_Round 3_1_2, Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Finals_1_4","Nocturne, Senna",0.4,0.45
3,Aurora + Lucian + Milio,5,2,"VCS/2026 Season/Summer Season_Week 2_5_2, Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_2_1","Nocturne, Senna",0.4,0.45
2,Ambessa + Nautilus,3,1,Circuito Desafiante/2026 Season/Split 2 Promotion_Round 1_3_1,"Nocturne, Senna",0.3333333333333333,0.4375
2,Ashe + Jarvan IV,3,1,Esports World Cup 2026/Online Qualifiers/South America_Round 2_1_3,"Nocturne, Senna",0.3333333333333333,0.4375
2,Ashe + Rumble,3,1,Rift Legends/2026 Season/Spring Split_Week 5_6_2,"Nocturne, Senna",0.3333333333333333,0.4375
2,Aurora + Jarvan IV,3,1,Esports World Cup 2026/Online Qualifiers/South America_Round 2_1_3,"Nocturne, Senna",0.3333333333333333,0.4375
2,Azir + Karma,3,1,North American Challengers League/2026 Season/Spring Season_Week 7_6_2,Senna,0.3333333333333333,0.4375
2,Corki + Nami,3,1,Nexus League/2026 Season/Spring Split_Week 6_8_1,Senna,0.3333333333333333,0.4375
