match_id,date,patch,op_side,op_team,non_op_team,op_champions,op_team_win
2026 Asia Masters_Day 4_1_1,2026-06-11 06:08:00,26.11,blue,Saigon Warriors,Weibo Gaming Youth Team,Nocturne,1
EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_2_3,2026-06-11 16:43:00,26.11,red,G2 NORD,Galions,Nocturne,0
EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_6_1,2026-06-11 17:23:00,26.11,red,Karmine Corp Blue,PCIFIC Esports,Nocturne,1
Road Of Legends/2026 Season/Summer Promotion_Round 1_1_3,2026-06-11 17:51:00,26.11,red,SNOOZE Esports,ZennIT,Nocturne,1
EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_8_2,2026-06-11 18:31:00,26.11,red,Partizan Sangal,WLGaming Esports,Nocturne,0
Esports World Cup 2026/Online Qualifiers/South America_Round 3_1_2,2026-06-11 22:14:00,26.11,blue,LOUD,LØS,Nocturne,0
2026 Asian Games/Qualifier_Day 1_1_1,2026-06-12 05:10:00,26.11,red,Malaysia (National Team),Hong Kong (National Team),Nocturne,0
LCK/2026 Season/Road to MSI_Round 3_1_2,2026-06-12 09:28:00,26.11,blue,T1,Hanwha Life Esports,Nocturne,1
2026 Asian Games/Qualifier_Day 1_7_1,2026-06-12 09:43:00,26.11,red,Hong Kong (National Team),Kyrgyzstan (National Team),Nocturne,1
VCS/2026 Season/Summer Playoffs_Round 1_2_3,2026-06-12 12:11:00,26.11,blue,ZEN Esports (Vietnamese Team),Saigon Dino,Nocturne,1
EMEA Masters/2026 Season/Spring Main Event_Groups Day 3_3_1,2026-06-12 18:13:00,26.11,red,Karmine Corp Blue,Forsaken (Polish Team),Nocturne,1
2026 Asian Games/Qualifier_Day 2_1_1,2026-06-13 05:10:00,26.11,blue,Pakistan (National Team),United Arab Emirates (National Team),Nocturne,0
LJL/2026 Season/Spring Series_Semifinals_1_2,2026-06-13 09:09:00,26.11,red,Arneb,Rising Gaming,Nocturne,0
VCS/2026 Season/Summer Playoffs_Round 2_1_1,2026-06-13 10:07:00,26.11,blue,ZEN Esports (Vietnamese Team),Saigon Warriors,Nocturne,0
Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Round 3_2_1,2026-06-13 10:30:00,26.11,blue,Priority,EXILE esports Academy,Nocturne,1
EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_1_1,2026-06-13 15:02:00,26.11,red,UCAM Esports,Karmine Corp Blue,Nocturne,1
EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_4_1,2026-06-13 15:02:00,26.11,blue,Galions,Misa Esports,Nocturne,1
EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_3_2,2026-06-13 15:56:00,26.11,blue,Eintracht Spandau,Team Heretics Academy,Nocturne,1
EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_2_3,2026-06-13 16:35:00,26.11,blue,Solary,G2 NORD,Nocturne,0
Esports World Cup 2026/Online Qualifiers/South America_Round 4_2_2,2026-06-13 17:03:00,26.11,blue,Vivo Keyd Stars,LØS,Nocturne,0
LCS/2026 Season/Spring Playoffs_Round 3_1_1,2026-06-13 20:15:00,26.11,red,Cloud9,Team Liquid,Nocturne,0
2026 Asian Games/Qualifier_Day 3_2_1,2026-06-14 05:09:00,26.11,red,Hong Kong (National Team),India (National Team),Nocturne,1
LCK/2026 Season/Road to MSI_Round 4_1_4,2026-06-14 09:36:00,26.11,blue,T1,Gen.G,Nocturne,0
VCS/2026 Season/Summer Playoffs_Round 1_3_1,2026-06-14 10:13:00,26.11,blue,Saigon Dino,SN CyberCore Esports,Nocturne,0
LPL/2026 Season/Split 2 Playoffs_Finals_1_3,2026-06-14 10:20:00,26.10,blue,Bilibili Gaming,Top Esports,Senna,1
2026 Asian Games/Qualifier_Day 3_9_1,2026-06-14 10:48:00,26.11,red,Saudi Arabia (National Team),India (National Team),Nocturne,1
LJL/2026 Season/Spring Series_Finals_1_5,2026-06-14 11:51:00,26.11,blue,FENNEL,Rising Gaming,Nocturne,1
Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Finals_1_4,2026-06-14 12:59:00,26.11,blue,Priority,Ethereal Enigmas,Nocturne,0
EMEA Masters/2026 Season/Spring Main Event_Semifinals_2_1,2026-06-14 15:00:00,26.11,blue,Galions,Eintracht Spandau,Nocturne,1
EMEA Masters/2026 Season/Spring Main Event_Semifinals_1_1,2026-06-14 15:01:00,26.11,red,UCAM Esports,Solary,Nocturne,0
LCS/2026 Season/Spring Playoffs_Finals_1_3,2026-06-14 22:24:00,26.11,blue,LYON (2024 American Team),Team Liquid,Nocturne,1
EMEA Masters/2026 Season/Spring Main Event_Finals_1_1,2026-06-15 15:01:00,26.11,red,Galions,Solary,Nocturne,1
