champion,synergy_degree,synergy_degree_centrality,synergy_weighted_degree,synergy_betweenness,synergy_closeness,synergy_eigenvector,synergy_pagerank,counter_in_degree,counter_out_degree,counter_weighted_in_degree,counter_weighted_out_degree,counter_in_degree_centrality,counter_out_degree_centrality,counter_pagerank,counter_betweenness,counter_hits_hub,counter_hits_authority
Viktor,37.0,0.2846153846153846,40.817913456915946,0.021642386124335194,0.5508474576271186,0.1678814381082345,0.015385118091314706,44.0,41.0,49.48198653513445,39.87476838524401,0.29931972789115646,0.2789115646258503,0.016407769527484177,0.022467261484473058,0.012856225844230332,0.017209241386353182
Akali,36.0,0.27692307692307694,41.79159930726759,0.00799004770403047,0.5579399141630901,0.14387028507982438,0.015441189688922795,23.0,48.0,14.068809546772378,50.75539422204872,0.1564625850340136,0.32653061224489793,0.005055329668037371,0.006560789834319753,0.019205378356526984,0.003412885517860477
Yunara,29.0,0.2230769230769231,22.625487336594155,0.01824148358933922,0.5241935483870968,0.048326455784783263,0.010352230714748363,45.0,42.0,58.90323819599906,38.7897171927946,0.30612244897959184,0.2857142857142857,0.018827361672443237,0.019351487527656603,0.011611750904529494,0.022737696091522853
Vi,38.0,0.2923076923076923,40.74955836869202,0.032477376959546965,0.5627705627705628,0.10463674758092247,0.01699712595510442,42.0,40.0,40.68908102738366,57.66487727830337,0.2857142857142857,0.27210884353741494,0.014161907319228114,0.017731171966937888,0.021398396439194795,0.013511751033492022
Annie,43.0,0.3307692307692308,48.57551834743573,0.04013081363430043,0.5803571428571429,0.17170472346592822,0.019211826678427798,24.0,47.0,18.783331856634767,45.54142228218314,0.16326530612244897,0.31972789115646255,0.0062366561123846885,0.009159405825251571,0.017880142468428454,0.0065852816392083235
Sivir,29.0,0.2230769230769231,25.607302252177917,0.0038150307261718415,0.5327868852459017,0.08254290537850763,0.00983743957823711,29.0,39.0,16.70115586583777,28.23213833268182,0.19727891156462585,0.2653061224489796,0.007437513835261975,0.011744199287734503,0.010172876592145112,0.004074604271541991
Lux,14.0,0.1076923076923077,10.343646549528902,0.0005939319274696253,0.483271375464684,0.038214830466797314,0.004588656985178732,10.0,18.0,3.0654761904761916,7.034361471861471,0.06802721088435373,0.12244897959183673,0.0024506847987681712,0.0009596270757630139,0.002602253716464232,0.0007268527828050534
Aurora,36.0,0.27692307692307694,27.05398561220799,0.02542037868580206,0.5416666666666666,0.08394439898814056,0.011581610380279531,39.0,39.0,67.1893710000825,37.2357090530818,0.2653061224489796,0.2653061224489796,0.014841161053029872,0.011312802356099898,0.012454641524197028,0.02799073448293804
Naafiri,29.0,0.2230769230769231,29.961524378091216,0.005848540122548058,0.5306122448979592,0.11392106524729644,0.01147647749394712,38.0,41.0,42.512732329876286,33.16593611138889,0.2585034013605442,0.2789115646258503,0.014745585467898503,0.018792862156458163,0.008889389898228642,0.01615612532613158
Vayne,46.0,0.35384615384615387,40.249224835621874,0.027034647568658594,0.5909090909090909,0.1431178314553591,0.01550344733913263,9.0,53.0,3.2056623931623935,48.55017165282254,0.061224489795918366,0.36054421768707484,0.001924357724376684,0.0019627391579912007,0.017243253262104623,0.0009289477447907166
Nautilus,33.0,0.25384615384615383,32.135499664306955,0.029751441943563644,0.5394190871369294,0.07584351363633779,0.014253720127140894,52.0,37.0,75.32707674705523,37.600028209800215,0.35374149659863946,0.25170068027210885,0.02274014349877869,0.039593830247300676,0.013310763321358294,0.026428965580909746
Karma,22.0,0.16923076923076924,22.346053344018998,0.01051266501650844,0.5058365758754864,0.05195887097831925,0.009625428605919507,53.0,30.0,72.46537654435875,24.32153305337429,0.36054421768707484,0.20408163265306123,0.026082348703593376,0.017125490853526097,0.007441654013904455,0.02479970282287921
Skarner,27.0,0.2076923076923077,26.109901288446306,0.005996886224445822,0.5263157894736842,0.06619098293965237,0.01044692439800849,45.0,30.0,41.860571480669954,26.659994245520576,0.30612244897959184,0.20408163265306123,0.01332587019367134,0.01229791592645436,0.008856769389194332,0.01554227641324483
Rumble,34.0,0.26153846153846155,41.15431387158729,0.011654559209922173,0.5508474576271186,0.13075337314371563,0.015382544943091136,39.0,37.0,45.436748429784785,55.444871690161555,0.2653061224489796,0.25170068027210885,0.014947613401886106,0.02116980328745999,0.021708541686084052,0.016077052740012684
Lulu,30.0,0.23076923076923078,23.578076887265073,0.01565642184470514,0.5179282868525896,0.06010033865940733,0.010633011583952405,54.0,34.0,67.7540605215191,29.736996095691747,0.36734693877551017,0.2312925170068027,0.021462980665437087,0.020392094695861812,0.009525495827232054,0.02321384279548007
Ahri,37.0,0.2846153846153846,27.99154380902898,0.021571115657290887,0.5676855895196506,0.06327667831609667,0.011974945751675976,44.0,43.0,51.985275546749996,52.44104843851432,0.29931972789115646,0.2925170068027211,0.01643274576231084,0.022259375577413126,0.019117922900775252,0.018699742649932512
Trundle,39.0,0.30000000000000004,28.759189040215254,0.013129641047919213,0.5627705627705628,0.05996316631584209,0.011577468102379506,24.0,44.0,11.558134267693092,40.660313048664435,0.16326530612244897,0.29931972789115646,0.006235221956205694,0.014764407952538154,0.014981524431592041,0.0028842342921419233
Varus,37.0,0.2846153846153846,26.92604705739914,0.03462932150989694,0.5508474576271186,0.06672759541213892,0.012250380266337917,45.0,43.0,44.509979951492085,29.16967496593506,0.30612244897959184,0.2925170068027211,0.01721928359194303,0.01916132275683897,0.005875087121629735,0.012720283036079685
Milio,28.0,0.2153846153846154,29.39209132370897,0.016878911042800926,0.5220883534136547,0.06648092474950199,0.012848857185023148,39.0,42.0,61.44521834383069,49.68150098974089,0.2653061224489796,0.2857142857142857,0.014186820240003919,0.017600268490767592,0.01819883742935446,0.025076609597417553
Yone,24.0,0.18461538461538463,12.798741087344036,0.007828501890845597,0.5220883534136547,0.027395164035121107,0.006053751452031998,20.0,31.0,8.183476245976244,13.668834025451673,0.13605442176870747,0.21088435374149658,0.004810292118709078,0.0034808376198110554,0.004204478763757492,0.0027355578465623554
Twisted Fate,37.0,0.2846153846153846,30.58608405483406,0.013444665933671178,0.5603448275862069,0.10960026301990781,0.01190144589800113,25.0,43.0,13.186379195280127,35.383952426715574,0.17006802721088435,0.2925170068027211,0.00571015651728156,0.0071863974279839475,0.012140084295180651,0.0037139346369272717
Lee Sin,31.0,0.23846153846153847,29.998515818023826,0.009134817358704028,0.5349794238683128,0.08109598443192514,0.011918298782941261,39.0,35.0,37.10028453993593,39.059620976368514,0.2653061224489796,0.23809523809523808,0.011195928992334006,0.008438213721856977,0.015656413803485755,0.014719650650998714
Gwen,19.0,0.14615384615384616,15.62522893772894,0.001512927799674948,0.5,0.03949149037437419,0.00664800156637489,28.0,25.0,16.621291902541905,16.189622877122872,0.19047619047619047,0.17006802721088435,0.0075433631087892935,0.01054758197080552,0.00705134171569741,0.005696826853020711
