combo_size,composition,team_has_op,combo_contains_op,games,wins,example_matches,op_champions,win_rate,smoothed_win_rate,op_status_baseline_win_rate,lift_vs_op_status_baseline,lift_vs_global_50
3,Anivia + Nocturne + Ornn,True,True,2,2,"EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_4_1, EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_3_2",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Aurora + Ezreal + Nocturne,True,True,2,2,"EMEA Masters/2026 Season/Spring Play-In_Qualification Round_3_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_6_1",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Aurora + Nocturne + Yunara,True,True,2,2,"Benelux Ascend Series/2026 Season/Spring Playoffs_Finals_1_2, Road Of Legends/2026 Season/Spring Playoffs_Finals_1_3",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Bard + K'Sante + Nocturne,True,True,2,2,"EMEA Masters/2026 Season/Spring Main Event_Semifinals_2_1, EMEA Masters/2026 Season/Spring Main Event_Finals_1_1",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Caitlyn + K'Sante + Nocturne,True,True,2,2,"EMEA Masters/2026 Season/Spring Main Event_Semifinals_2_1, EMEA Masters/2026 Season/Spring Main Event_Finals_1_1",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Ezreal + Nocturne + Rakan,True,True,2,2,"EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_6_3, EMEA Masters/2026 Season/Spring Main Event_Groups Day 3_3_1",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Ezreal + Nocturne + Rell,True,True,2,2,"EMEA Masters/2026 Season/Spring Play-In_Round 1_5_1, EMEA Masters/2026 Season/Spring Play-In_Qualification Round_3_1",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Ezreal + Nocturne + Ryze,True,True,2,2,"EMEA Masters/2026 Season/Spring Play-In_Round 1_5_1, EMEA Masters/2026 Season/Spring Main Event_Groups Day 3_3_1",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Fiora + Senna + Wukong,True,True,2,2,"North American Challengers League/2026 Season/Spring Season_Week 7_4_3, LES/2026 Season/Spring Playoffs_Finals_1_3",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Jarvan IV + Senna + Vayne,True,True,2,2,"Rift Legends/2026 Season/Spring Split_Week 6_4_2, Prime League 1st Division/2026 Season/Spring Playoffs_Semifinals_2_3",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Jayce + Orianna + Senna,True,True,2,2,"Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_3, LCS/2026 Season/Spring Season_Week 7_4_1",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Jayce + Ryze + Senna,True,True,2,2,"Esports World Cup 2026/Online Qualifiers/Korea_Round 4_2_2, LPL/2026 Season/Split 2 Playoffs_Round 3_1_2",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,K'Sante + Senna + Xin Zhao,True,True,2,2,"LPL/2026 Season/Split 2_Week 7_3_1, North American Challengers League/2026 Season/Spring Season_Week 8_1_2",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Nautilus + Orianna + Senna,True,True,2,2,"Liga Regional Sur/2026 Season/Split 1 Playoffs_Round 1_4_3, LCS/2026 Season/Spring Season_Week 7_4_1",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Nautilus + Senna + Shyvana,True,True,2,2,"Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_3, Nexus League/2026 Season/Spring Playoffs_Finals_1_2",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Nautilus + Senna + Trundle,True,True,2,2,"Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_1_2, Prime League 1st Division/2026 Season/Spring Playoffs_Finals_1_3",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Nautilus + Senna + Xin Zhao,True,True,2,2,"North American Challengers League/2026 Season/Spring Season_Week 8_1_2, LPL/2026 Season/Split 2 Playoffs_Play-In_2_2",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Nocturne + Rumble + Sivir,True,True,2,2,"EMEA Masters/2026 Season/Spring Play-In_Round 3_4_1, EMEA Masters/2026 Season/Spring Play-In_Round 5_2_1",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Nocturne + Ryze + Sivir,True,True,2,2,"CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_1, Benelux Ascend Series/2026 Season/Spring Playoffs_Semifinals_2_3",Nocturne,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Pantheon + Senna + Seraphine,True,True,2,2,"CBLOL/2026 Season/Split 1 Playoffs_Round 2_1_2, LPL/2026 Season/Split 2 Playoffs_Finals_1_3",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Ryze + Senna + Wukong,True,True,2,2,"LIT/2026 Season/Summer Promotion_Round 4_1_1, LES/2026 Season/Spring Playoffs_Finals_1_3",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
3,Senna + Seraphine + Viktor,True,True,2,2,"LCS/2026 Season/Spring Season_Week 6_3_2, LPL/2026 Season/Split 2 Playoffs_Finals_1_3",Senna,1.0,0.6428571428571429,0.5314685314685315,0.11138861138861145,0.1428571428571429
2,Galio + Nocturne,True,True,4,3,"Esports World Cup 2026/Online Qualifiers/South America_Round 2_1_3, EMEA Masters/2026 Season/Spring Play-In_Qualification Round_4_2, EMEA Masters/2026 Season/Spring Main Event_Groups Day 3_3_1",Nocturne,0.75,0.6111111111111112,0.5314685314685315,0.0796425796425797,0.11111111111111116
2,Senna + Sion,True,True,4,3,"Esports Balkan League/2026 Season/Spring Playoffs_Round 3_1_1, NLC/2026 Season/Spring Split_Day 1_4_1, LPL/2026 Season/Split 2 Playoffs_Round 1_1_3",Senna,0.75,0.6111111111111112,0.5314685314685315,0.0796425796425797,0.11111111111111116
3,Nautilus + Rumble + Senna,True,True,4,3,"Esports World Cup 2026/Online Qualifiers/EMEA_Round 4_1_2, LES/2026 Season/Spring Split_Week 7_2_2, LCS/2026 Season/Spring Playoffs_Round 1_2_2",Senna,0.75,0.6111111111111112,0.5314685314685315,0.0796425796425797,0.11111111111111116
3,Nocturne + Rakan + Sivir,True,True,4,3,"CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_1, Benelux Ascend Series/2026 Season/Spring Playoffs_Semifinals_2_3, NLC/2026 Season/Spring Playoffs_Finals_1_2",Nocturne,0.75,0.6111111111111112,0.5314685314685315,0.0796425796425797,0.11111111111111116
2,Aurora + Nocturne,True,True,9,6,"Hitpoint Masters/2026 Season/Spring Playoffs_Round 3_2_3, NLC/2026 Season/Spring Playoffs_Finals_1_2, Benelux Ascend Series/2026 Season/Spring Playoffs_Finals_1_2",Nocturne,0.6666666666666666,0.6071428571428571,0.5314685314685315,0.07567432567432564,0.1071428571428571
2,Nocturne + Rakan,True,True,9,6,"CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_1, Benelux Ascend Series/2026 Season/Spring Playoffs_Semifinals_2_3, NLC/2026 Season/Spring Playoffs_Finals_1_2",Nocturne,0.6666666666666666,0.6071428571428571,0.5314685314685315,0.07567432567432564,0.1071428571428571
2,Nocturne + Sivir,True,True,9,6,"CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_1, Hitpoint Masters/2026 Season/Spring Playoffs_Round 3_2_3, Benelux Ascend Series/2026 Season/Spring Playoffs_Semifinals_2_3",Nocturne,0.6666666666666666,0.6071428571428571,0.5314685314685315,0.07567432567432564,0.1071428571428571
2,Ryze + Senna,True,True,11,7,"Rift Legends/2026 Season/Spring Split_Week 5_2_1, LCK/2026 Season/Rounds 1-2_Week 6_2_2, North American Challengers League/2026 Season/Spring Season_Week 8_1_2",Senna,0.6363636363636364,0.59375,0.5314685314685315,0.06228146853146854,0.09375
2,Anivia + Nocturne,True,True,6,4,"Circuito Desafiante/2026 Season/Split 1 Playoffs_Finals_1_1, NLC/2026 Season/Spring Playoffs_Round 3_1_3, Liga Regional Sur/2026 Season/Split 1 Playoffs_Finals_1_1",Nocturne,0.6666666666666666,0.5909090909090909,0.5314685314685315,0.05944055944055948,0.09090909090909094
5,Aatrox + Ashe + Cassiopeia + Nocturne + Seraphine,True,True,1,1,EMEA Masters/2026 Season/Spring Play-In_Round 4_3_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aatrox + Ashe + Milio + Nocturne + Syndra,True,True,1,1,EMEA Masters/2026 Season/Spring Play-In_Round 2_8_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aatrox + Aurora + Bard + Senna + Zaahen,True,True,1,1,Road Of Legends/2026 Season/Spring Split_Week 6_2_3,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aatrox + Aurora + Leona + Senna + Yone,True,True,1,1,North American Challengers League/2026 Season/Spring Playoffs_Round 2_3_4,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aatrox + Nocturne + Rakan + Ryze + Sivir,True,True,1,1,CBLOL/2026 Season/Split 1 Playoffs_Round 4_2_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Ahri + Ambessa + Kai'Sa + Nautilus + Nocturne,True,True,1,1,EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_1_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Ahri + Ambessa + Neeko + Nocturne + Xayah,True,True,1,1,Road Of Legends/2026 Season/Summer Promotion_Round 1_1_3,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Ahri + Caitlyn + Lux + Nocturne + Rumble,True,True,1,1,EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_2_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Akali + Alistar + Ezreal + Irelia + Nocturne,True,True,1,1,2026 Asian Games/Qualifier_Day 3_2_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Akali + Alistar + Kai'Sa + Nocturne + Sion,True,True,1,1,Arabian League/2026 Season/Summer Promotion_Round 2_1_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Akali + Bard + Caitlyn + K'Sante + Nocturne,True,True,1,1,EMEA Masters/2026 Season/Spring Main Event_Semifinals_2_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Akali + Jarvan IV + Leona + Senna + Shyvana,True,True,1,1,LIT/2026 Season/Spring Playoffs_Round 5_1_3,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Akali + Jarvan IV + Rumble + Senna + Seraphine,True,True,1,1,LCP/2026 Season/Split 2_Week 7_3_1,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Akali + Jayce + Nautilus + Senna + Xin Zhao,True,True,1,1,LPL/2026 Season/Split 2 Playoffs_Play-In_2_2,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Akali + Ryze + Senna + Seraphine + Skarner,True,True,1,1,Rift Legends/2026 Season/Spring Split_Week 5_2_1,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Alistar + Ambessa + Ezreal + Nocturne + Viktor,True,True,1,1,Circuito Desafiante/2026 Season/Split 2 Promotion_Round 2_2_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Alistar + Anivia + Kled + Nasus + Senna,True,True,1,1,LEC/2026 Season/Spring Playoffs_Finals_1_5,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Alistar + Hwei + Senna + Yorick + Zaahen,True,True,1,1,Nexus League/2026 Season/Spring Playoffs_Round 2_1_3,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Alistar + Jayce + Lee Sin + Ryze + Senna,True,True,1,1,LPL/2026 Season/Split 2 Playoffs_Round 3_1_2,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Alistar + Jayce + Ryze + Senna + Trundle,True,True,1,1,Esports World Cup 2026/Online Qualifiers/Korea_Round 4_2_2,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Alistar + Nocturne + Orianna + Rumble + Sivir,True,True,1,1,EMEA Masters/2026 Season/Spring Play-In_Round 3_4_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Ambessa + Jayce + Nautilus + Orianna + Senna,True,True,1,1,LCS/2026 Season/Spring Season_Week 7_4_1,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Ambessa + Lissandra + Nocturne + Rakan + Sivir,True,True,1,1,LCK/2026 Season/Road to MSI_Round 3_1_2,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Ambessa + Malphite + Rell + Senna + Syndra,True,True,1,1,Benelux Ascend Series/2026 Season/Spring Split_Week 7_3_3,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Anivia + Ashe + Nocturne + Ornn + Seraphine,True,True,1,1,EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_4_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Anivia + Bard + Caitlyn + Nocturne + Ornn,True,True,1,1,EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_3_2,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Anivia + Jarvan IV + K'Sante + Poppy + Senna,True,True,1,1,PCS/2026 Season/Spring Season_Playoffs Round 4_1_1,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Anivia + Jarvan IV + Mel + Senna + Vayne,True,True,1,1,Rift Legends/2026 Season/Spring Split_Week 6_4_2,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Anivia + K'Sante + Nocturne + Soraka + Yunara,True,True,1,1,NLC/2026 Season/Spring Playoffs_Round 3_1_3,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Anivia + Lucian + Nocturne + Sion + Yuumi,True,True,1,1,Circuito Desafiante/2026 Season/Split 1 Playoffs_Finals_1_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Annie + Bard + Caitlyn + K'Sante + Nocturne,True,True,1,1,EMEA Masters/2026 Season/Spring Main Event_Finals_1_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Annie + K'Sante + Karma + Senna + Xin Zhao,True,True,1,1,LPL/2026 Season/Split 2_Week 7_3_1,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aurora + Bard + Ezreal + Nocturne + Sion,True,True,1,1,EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_6_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aurora + Braum + Camille + Nocturne + Yunara,True,True,1,1,Benelux Ascend Series/2026 Season/Spring Playoffs_Finals_1_2,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aurora + Ezreal + Nocturne + Rell + Renekton,True,True,1,1,EMEA Masters/2026 Season/Spring Play-In_Qualification Round_3_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aurora + Fiora + Lucian + Milio + Nocturne,True,True,1,1,2026 Asian Games/Qualifier_Day 1_7_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aurora + Jax + Nautilus + Senna + Skarner,True,True,1,1,PCS/2026 Season/Spring Season_Finals_1_3,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aurora + Jax + Neeko + Nocturne + Yunara,True,True,1,1,Road Of Legends/2026 Season/Spring Playoffs_Finals_1_3,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aurora + Nautilus + Rumble + Senna + Wukong,True,True,1,1,NLC/2026 Season/Spring Playoffs_Round 1_2_2,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Aurora + Neeko + Nocturne + Sivir + Yasuo,True,True,1,1,Hitpoint Masters/2026 Season/Spring Playoffs_Round 3_2_3,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Bard + Caitlyn + Nocturne + Ryze + Shen,True,True,1,1,LCS/2026 Season/Spring Playoffs_Round 1_4_2,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Bard + Gnar + Nocturne + Orianna + Senna,True,True,1,1,NLC/2026 Season/Spring Split_Day 1_5_1,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Bard + Nocturne + Rumble + Sivir + Yone,True,True,1,1,EMEA Masters/2026 Season/Spring Play-In_Round 5_2_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Caitlyn + Cassiopeia + Neeko + Nocturne + Sion,True,True,1,1,Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Round 3_2_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Caitlyn + Galio + Jayce + Neeko + Nocturne,True,True,1,1,EMEA Masters/2026 Season/Spring Play-In_Qualification Round_4_2,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Caitlyn + Illaoi + Nocturne + Rell + Ziggs,True,True,1,1,2026 Asian Games/Qualifier_Day 3_9_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Cassiopeia + Karma + Nocturne + Shen + Varus,True,True,1,1,2026 Asia Masters_Day 4_1_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Cassiopeia + Lee Sin + Leona + Senna + Varus,True,True,1,1,NLC/2026 Season/Spring Split_Day 1_13_1,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Cassiopeia + Senna + Sion + Soraka + Vi,True,True,1,1,NLC/2026 Season/Spring Split_Day 1_4_1,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Ezreal + Galio + Nocturne + Rakan + Ryze,True,True,1,1,EMEA Masters/2026 Season/Spring Main Event_Groups Day 3_3_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Ezreal + Nocturne + Rakan + Sylas + Yorick,True,True,1,1,EMEA Masters/2026 Season/Spring Main Event_Groups Day 1_6_3,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Ezreal + Nocturne + Rell + Ryze + Vayne,True,True,1,1,EMEA Masters/2026 Season/Spring Play-In_Round 1_5_1,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Fiora + Leona + Senna + Viktor + Wukong,True,True,1,1,North American Challengers League/2026 Season/Spring Season_Week 7_4_3,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Fiora + Nautilus + Ryze + Senna + Wukong,True,True,1,1,LES/2026 Season/Spring Playoffs_Finals_1_3,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Galio + Lulu + Nocturne + Rumble + Yunara,True,True,1,1,LCS/2026 Season/Spring Playoffs_Finals_1_3,Nocturne,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
5,Gnar + Senna + Seraphine + Skarner + Taliyah,True,True,1,1,Nexus League/2026 Season/Spring Split_Week 7_6_1,Senna,1.0,0.5833333333333334,0.5314685314685315,0.05186480186480191,0.08333333333333337
