patch,patch_number,champion,patch_matches,picks,wins,bans,win_rate,smoothed_win_rate,pick_rate,ban_rate,presence_rate,op_score,op_rank,is_high_pro_presence_reference
26.11,2611,Qiyana,400,5,3,4,0.6,0.55,0.0125,0.01,0.0225,0.04575000000000003,93,False
26.11,2611,Shyvana,400,5,3,3,0.6,0.55,0.0125,0.0075,0.02,0.044000000000000025,94,False
26.11,2611,Jax,400,17,8,8,0.47058823529411764,0.4772727272727273,0.0425,0.02,0.0625,0.04375,95,False
26.11,2611,Diana,400,3,2,0,0.6666666666666666,0.5625,0.0075,0.0,0.0075,0.042749999999999996,96,False
26.11,2611,Hwei,400,15,7,9,0.4666666666666667,0.475,0.0375,0.0225,0.06,0.041999999999999996,97,False
26.11,2611,Renata Glasc,400,9,5,1,0.5555555555555556,0.5357142857142857,0.0225,0.0025,0.025,0.03892857142857142,98,False
26.11,2611,Corki,400,20,10,1,0.5,0.5,0.05,0.0025,0.0525,0.03675,99,False
26.11,2611,Yuumi,400,6,2,14,0.3333333333333333,0.4090909090909091,0.015,0.035,0.05,0.034999999999999996,100,False
26.11,2611,Maokai,400,14,4,5,0.2857142857142857,0.34210526315789475,0.035,0.0125,0.0475,0.033249999999999995,101,False
26.11,2611,Irelia,400,8,4,9,0.5,0.5,0.02,0.0225,0.0425,0.02975,102,False
26.11,2611,Viego,400,11,4,6,0.36363636363636365,0.40625,0.0275,0.015,0.0425,0.02975,103,False
26.11,2611,Dr. Mundo,400,12,4,5,0.3333333333333333,0.38235294117647056,0.03,0.0125,0.0425,0.02975,104,False
26.11,2611,Kha'Zix,400,6,1,10,0.16666666666666666,0.3181818181818182,0.015,0.025,0.04,0.027999999999999997,105,False
26.11,2611,Ivern,400,4,2,10,0.5,0.5,0.01,0.025,0.035,0.0245,106,False
26.11,2611,Rek'Sai,400,12,6,2,0.5,0.5,0.03,0.005,0.035,0.0245,107,False
26.11,2611,Lissandra,400,10,4,4,0.4,0.43333333333333335,0.025,0.01,0.035,0.0245,108,False
26.11,2611,Zeri,400,8,1,4,0.125,0.2692307692307692,0.02,0.01,0.03,0.020999999999999998,109,False
26.11,2611,Fiora,400,4,2,7,0.5,0.5,0.01,0.0175,0.0275,0.01925,110,False
26.11,2611,Kennen,400,7,3,3,0.42857142857142855,0.4583333333333333,0.0175,0.0075,0.025,0.017499999999999998,111,False
26.11,2611,Lux,400,10,3,0,0.3,0.36666666666666664,0.025,0.0,0.025,0.017499999999999998,112,False
