source,target,teams_using_both,teams_using_pair_with_op_context
Galio,Wukong,74,0
Jarvan IV,Ornn,74,0
Jarvan IV,Zaahen,74,0
Lee Sin,Sivir,74,0
Ornn,Sion,74,0
Ahri,Taliyah,74,0
Aurora,Taliyah,74,0
Karma,Taliyah,74,0
Taliyah,Wukong,74,0
Caitlyn,Trundle,74,0
Sion,Yorick,74,0
Ashe,Rell,74,0
Alistar,Nautilus,74,0
Rell,Varus,74,0
Naafiri,Sivir,74,0
Akali,Lulu,74,0
Trundle,Viktor,74,0
Miss Fortune,Rumble,74,0
Rell,Renekton,74,0
Corki,Neeko,73,0
Xin Zhao,Zaahen,73,0
Aatrox,Xin Zhao,73,0
Caitlyn,Rakan,73,0
Orianna,Rakan,73,0
Ezreal,Vayne,73,0
Orianna,Trundle,73,0
Sion,Xayah,73,0
Bard,Rell,73,0
Alistar,Gnar,73,0
Jarvan IV,Twisted Fate,73,0
Lucian,Twisted Fate,73,0
Skarner,Varus,73,0
Jhin,Trundle,73,0
Corki,Jayce,73,0
Nocturne,Rell,72,23
Nautilus,Ornn,72,0
Aatrox,Jarvan IV,72,0
Taliyah,Vi,72,0
Vayne,Xin Zhao,72,0
Milio,Yorick,72,0
Alistar,Jhin,72,0
Alistar,Milio,72,0
Aurora,Rakan,72,0
Akali,Jayce,72,0
Cassiopeia,Twisted Fate,72,0
Gnar,Taliyah,72,0
Gnar,Twisted Fate,72,0
Seraphine,Twisted Fate,72,0
Gnar,Trundle,72,0
Nocturne,Trundle,71,25
Akali,Yunara,71,0
Anivia,Lee Sin,71,0
Anivia,Nami,71,0
Galio,Nautilus,71,0
Ornn,Viktor,71,0
Aatrox,Karma,71,0
Annie,Sivir,71,0
Lucian,Yorick,71,0
Ryze,Yorick,71,0
Ahri,Xayah,71,0
Alistar,Caitlyn,71,0
Alistar,Lucian,71,0
Lucian,Rell,71,0
Alistar,Varus,71,0
Lucian,Mel,71,0
Orianna,Taliyah,71,0
Rakan,Viktor,71,0
Taliyah,Viktor,71,0
Xayah,Xin Zhao,71,0
Gnar,Rakan,71,0
Bard,Twisted Fate,71,0
Milio,Twisted Fate,71,0
Bard,Mel,71,0
Rell,Viktor,71,0
Cassiopeia,Rakan,71,0
Akali,Lee Sin,70,0
Anivia,Sivir,70,0
Bard,Kai'Sa,70,0
Lee Sin,Skarner,70,0
Nautilus,Zaahen,70,0
Sion,Zaahen,70,0
Aatrox,Wukong,70,0
Jarvan IV,Vayne,70,0
Anivia,Annie,70,0
Annie,Trundle,70,0
Ashe,Yorick,70,0
Ryze,Xayah,70,0
Corki,Naafiri,70,0
Ezreal,Gwen,70,0
Alistar,Naafiri,70,0
Leona,Xin Zhao,70,0
Mel,Sion,70,0
Nautilus,Twisted Fate,70,0
Rumble,Twisted Fate,70,0
Jarvan IV,Miss Fortune,70,0
Alistar,Yunara,70,0
Kai'Sa,Karma,69,0
Karma,Ornn,69,0
Rakan,Renekton,69,0
Taliyah,Yunara,69,0
Ambessa,Trundle,69,0
K'Sante,Kai'Sa,69,0
Lulu,Trundle,69,0
Nautilus,Yorick,69,0
Seraphine,Yorick,69,0
Seraphine,Zaahen,69,0
Ahri,Alistar,69,0
Bard,Xayah,69,0
Bard,Yorick,69,0
Ambessa,Rell,69,0
Bard,Gwen,69,0
Corki,Orianna,69,0
Caitlyn,Taliyah,69,0
Gwen,Xin Zhao,69,0
K'Sante,Mel,69,0
Alistar,Renekton,69,0
Miss Fortune,Renekton,69,0
Miss Fortune,Seraphine,69,0
Renekton,Trundle,69,0
Jhin,Rakan,69,0
Lulu,Rakan,69,0
Ambessa,Taliyah,68,0
Lulu,Taliyah,68,0
Sion,Vayne,68,0
Ashe,Zaahen,68,0
Galio,Seraphine,68,0
Aatrox,Bard,68,0
Alistar,Cassiopeia,68,0
Alistar,Lulu,68,0
K'Sante,Xayah,68,0
Ezreal,Sylas,68,0
Kai'Sa,Pantheon,68,0
Naafiri,Rell,68,0
Orianna,Rell,68,0
Alistar,Ambessa,68,0
Aurora,Mel,68,0
Nautilus,Xayah,68,0
Akali,Naafiri,68,0
Milio,Rell,68,0
Azir,Ezreal,68,0
Azir,Xin Zhao,68,0
Renekton,Taliyah,68,0
Corki,Renekton,68,0
Jayce,Trundle,68,0
Nocturne,Yorick,67,16
Akali,Sivir,67,0
Bard,Ornn,67,0
Karma,Zaahen,67,0
Wukong,Zaahen,67,0
Nautilus,Vayne,67,0
Cassiopeia,Yorick,67,0
Kai'Sa,Orianna,67,0
Kai'Sa,Seraphine,67,0
Karma,Yorick,67,0
Trundle,Yunara,67,0
Karma,Xayah,67,0
Ornn,Ryze,67,0
Jarvan IV,Sylas,67,0
Kai'Sa,Vi,67,0
Rell,Yunara,67,0
Mel,Milio,67,0
Naafiri,Taliyah,67,0
Sylas,Xin Zhao,67,0
Neeko,Rakan,67,0
Ashe,Twisted Fate,67,0
Cassiopeia,Rell,67,0
Cassiopeia,Taliyah,67,0
Pantheon,Twisted Fate,67,0
Azir,Jarvan IV,67,0
Neeko,Trundle,67,0
Trundle,Varus,67,0
Bard,Miss Fortune,67,0
Miss Fortune,Ryze,67,0
Rakan,Yunara,67,0
Alistar,Nocturne,66,24
Akali,Anivia,66,0
Akali,Skarner,66,0
Galio,Karma,66,0
Kai'Sa,Wukong,66,0
Aatrox,Seraphine,66,0
Annie,Corki,66,0
Ahri,Kai'Sa,66,0
Anivia,Trundle,66,0
Aurora,Yorick,66,0
Milio,Zaahen,66,0
Aatrox,Lucian,66,0
Jhin,Yorick,66,0
Anivia,Taliyah,66,0
Ezreal,Leona,66,0
Leona,Nautilus,66,0
Mel,Ryze,66,0
Rakan,Xayah,66,0
Caitlyn,Twisted Fate,66,0
Jayce,Taliyah,66,0
Jayce,Twisted Fate,66,0
Twisted Fate,Vi,66,0
Lee Sin,Trundle,66,0
Naafiri,Trundle,66,0
Sivir,Trundle,66,0
Cassiopeia,Miss Fortune,66,0
Gnar,Miss Fortune,66,0
Mel,Renekton,66,0
Annie,Rakan,66,0
Nautilus,Senna,65,48
Kai'Sa,Nocturne,65,19
Anivia,Corki,65,0
Bard,Galio,65,0
Viktor,Zaahen,65,0
Aatrox,Sion,65,0
Galio,Rumble,65,0
K'Sante,Yorick,65,0
Kai'Sa,Ryze,65,0
Milio,Xayah,65,0
Vi,Yorick,65,0
Leona,Sion,65,0
Mel,Orianna,65,0
Mel,Seraphine,65,0
Mel,Vi,65,0
Naafiri,Rakan,65,0
Neeko,Rell,65,0
Jayce,Rell,65,0
Karma,Twisted Fate,65,0
Neeko,Taliyah,65,0
Corki,Jhin,65,0
Gnar,Yorick,65,0
Karma,Mel,65,0
Twisted Fate,Wukong,65,0
Milio,Miss Fortune,65,0
Miss Fortune,Wukong,65,0
Ornn,Seraphine,65,0
Aurora,Kai'Sa,64,0
Corki,Lee Sin,64,0
Corki,Skarner,64,0
Syndra,Xin Zhao,64,0
Aatrox,Caitlyn,64,0
Aatrox,Ahri,64,0
Vayne,Wukong,64,0
Ashe,Galio,64,0
K'Sante,Zaahen,64,0
Kai'Sa,Rumble,64,0
Aatrox,Ryze,64,0
Aatrox,Viktor,64,0
Ornn,Pantheon,64,0
Gwen,Jarvan IV,64,0
Seraphine,Xayah,64,0
Anivia,Rell,64,0
Azir,Sion,64,0
Mel,Pantheon,64,0
Lucian,Miss Fortune,64,0
Rumble,Xayah,64,0
Caitlyn,Kai'Sa,63,0
Gnar,Kai'Sa,63,0
Kai'Sa,Yunara,63,0
Ornn,Wukong,63,0
Yunara,Zaahen,63,0
Caitlyn,Yorick,63,0
Lucian,Vayne,63,0
Lulu,Zaahen,63,0
Milio,Vayne,63,0
Ryze,Vayne,63,0
Seraphine,Vayne,63,0
Ahri,Ornn,63,0
Alistar,Neeko,63,0
Ashe,Xayah,63,0
Pantheon,Xayah,63,0
Pantheon,Yorick,63,0
Karma,Sylas,63,0
Lulu,Rell,63,0
Alistar,Lee Sin,63,0
Corki,Varus,63,0
Jarvan IV,Leona,63,0
Alistar,Jayce,63,0
Akali,Trundle,63,0
Azir,Karma,63,0
Azir,Seraphine,63,0
Mel,Rumble,63,0
Aurora,Miss Fortune,63,0
K'Sante,Miss Fortune,63,0
Karma,Miss Fortune,63,0
Jayce,Rakan,63,0
Akali,Corki,62,0
Aurora,Zaahen,62,0
Bard,Zaahen,62,0
Cassiopeia,Zaahen,62,0
Corki,Sivir,62,0
Kai'Sa,Viktor,62,0
Aatrox,K'Sante,62,0
Aatrox,Nautilus,62,0
Galio,Milio,62,0
Kai'Sa,Lulu,62,0
Lucian,Zaahen,62,0
Ryze,Zaahen,62,0
Skarner,Trundle,62,0
Wukong,Yorick,62,0
Vi,Xayah,62,0
Ahri,Gwen,62,0
Alistar,Nami,62,0
Anivia,Rakan,62,0
Leona,Seraphine,62,0
Leona,Wukong,62,0
Mel,Nautilus,62,0
Mel,Viktor,62,0
Mel,Wukong,62,0
Jhin,Rell,62,0
Jhin,Taliyah,62,0
K'Sante,Twisted Fate,62,0
Orianna,Twisted Fate,62,0
Akali,Annie,62,0
Azir,Rumble,62,0
Jayce,Yorick,62,0
Miss Fortune,Nocturne,61,15
Mel,Nocturne,61,14
Caitlyn,Ornn,61,0
Aatrox,Ashe,61,0
Nami,Rakan,61,0
Galio,K'Sante,61,0
Karma,Vayne,61,0
Ashe,Vayne,61,0
Galio,Lucian,61,0
Galio,Ryze,61,0
Orianna,Yorick,61,0
Lucian,Xayah,61,0
Orianna,Ornn,61,0
Orianna,Xayah,61,0
Gwen,Nautilus,61,0
Alistar,Anivia,61,0
Ambessa,Rakan,61,0
Mel,Varus,61,0
Neeko,Twisted Fate,61,0
Azir,Bard,61,0
Lulu,Twisted Fate,61,0
Naafiri,Yorick,61,0
Twisted Fate,Viktor,61,0
Rakan,Trundle,61,0
Alistar,Annie,61,0
K'Sante,Leona,61,0
Miss Fortune,Vi,61,0
Twisted Fate,Yunara,61,0
Aatrox,Varus,61,0
Senna,Xin Zhao,60,44
Nocturne,Twisted Fate,60,19
Nocturne,Zaahen,60,18
Smolder,Xin Zhao,60,0
Aatrox,Renekton,60,0
Nami,Taliyah,60,0
Lulu,Yorick,60,0
Rumble,Zaahen,60,0
Cassiopeia,Xayah,60,0
Viktor,Yorick,60,0
Gwen,Seraphine,60,0
Nautilus,Sylas,60,0
Rell,Skarner,60,0
Kai'Sa,Varus,60,0
LeBlanc,Xin Zhao,60,0
Lee Sin,Rakan,60,0
Sion,Sylas,60,0
Galio,Pantheon,60,0
Aurora,Twisted Fate,60,0
Gwen,Sion,60,0
Jhin,Twisted Fate,60,0
Azir,Gnar,60,0
Nami,Trundle,60,0
Ahri,Miss Fortune,60,0
Caitlyn,Miss Fortune,60,0
Miss Fortune,Naafiri,60,0
Pantheon,Zaahen,60,0
Aatrox,Rumble,60,0
Senna,Sion,59,44
Gnar,Zaahen,59,0
Kai'Sa,Neeko,59,0
Aatrox,Aurora,59,0
Aurora,Vayne,59,0
Ahri,Zaahen,59,0
Ambessa,Yorick,59,0
Ashe,Kai'Sa,59,0
Aatrox,Milio,59,0
Aatrox,Pantheon,59,0
Alistar,Sivir,59,0
K'Sante,Ornn,59,0
Lulu,Ornn,59,0
Neeko,Xayah,59,0
Neeko,Yorick,59,0
Wukong,Xayah,59,0
Bard,Sylas,59,0
Seraphine,Sylas,59,0
Ezreal,LeBlanc,59,0
Galio,Varus,59,0
Ahri,Twisted Fate,59,0
Anivia,Twisted Fate,59,0
Gnar,Xayah,59,0
Twisted Fate,Varus,59,0
Annie,Twisted Fate,59,0
Gnar,Mel,59,0
Lee Sin,Twisted Fate,59,0
Mel,Neeko,59,0
Lee Sin,Rell,59,0
Miss Fortune,Pantheon,59,0
Ornn,Varus,59,0
Azir,Wukong,59,0
Rakan,Skarner,59,0
Jarvan IV,Senna,58,43
Ezreal,Senna,58,42
Galio,Nocturne,58,18
Ambessa,Galio,58,0
Ambessa,Zaahen,58,0
Caitlyn,Zaahen,58,0
Cassiopeia,Galio,58,0
Ornn,Yunara,58,0
Aatrox,Vi,58,0
Ahri,Galio,58,0
Ahri,Vayne,58,0
Annie,Yorick,58,0
Cassiopeia,Vayne,58,0
Kai'Sa,Milio,58,0
Caitlyn,Xayah,58,0
Lucian,Ornn,58,0
Ornn,Vi,58,0
Pantheon,Vayne,58,0
Gwen,Lucian,58,0
Taliyah,Varus,58,0
Varus,Vayne,58,0
Gnar,Vayne,58,0
Gwen,Milio,58,0
Ashe,Azir,58,0
Azir,Nautilus,58,0
Azir,Ryze,58,0
Jhin,Mel,58,0
Ambessa,Miss Fortune,58,0
Lee Sin,Miss Fortune,58,0
Ornn,Rumble,58,0
Gwen,Wukong,58,0
Vi,Zaahen,58,0
Aatrox,Nocturne,57,21
Aurora,Galio,57,0
Caitlyn,Galio,57,0
Akali,Rakan,57,0
Ambessa,Vayne,57,0
K'Sante,Vayne,57,0
Kai'Sa,Lucian,57,0
Ashe,Ornn,57,0
Aurora,Xayah,57,0
Bard,Vayne,57,0
Lulu,Xayah,57,0
Vayne,Viktor,57,0
Ahri,Sylas,57,0
Ashe,Gwen,57,0
Gwen,Karma,57,0
Gwen,Pantheon,57,0
Nami,Rell,57,0
Orianna,Sylas,57,0
Pantheon,Sylas,57,0
Ahri,Leona,57,0
Ambessa,Mel,57,0
Aurora,Leona,57,0
Leona,Orianna,57,0
Sylas,Wukong,57,0
Akali,Alistar,57,0
Rell,Sivir,57,0
Azir,Caitlyn,57,0
Azir,Cassiopeia,57,0
Azir,K'Sante,57,0
Azir,Milio,57,0
Azir,Pantheon,57,0
Caitlyn,Mel,57,0
Ashe,Miss Fortune,57,0
Bard,Leona,57,0
Jhin,Miss Fortune,57,0
Miss Fortune,Viktor,57,0
Naafiri,Ornn,57,0
Ambessa,Twisted Fate,57,0
Renekton,Twisted Fate,57,0
Aatrox,Gnar,57,0
Ambessa,Kai'Sa,56,0
Galio,Viktor,56,0
Karma,Syndra,56,0
Annie,Taliyah,56,0
Sivir,Taliyah,56,0
Ahri,Yorick,56,0
Rumble,Vayne,56,0
Yorick,Yunara,56,0
Ezreal,Hwei,56,0
Viktor,Xayah,56,0
Ashe,Sylas,56,0
Ashe,Mel,56,0
Leona,Ryze,56,0
Rell,Taliyah,56,0
Azir,Lucian,56,0
Lee Sin,Yorick,56,0
Annie,Rell,56,0
Leona,Pantheon,56,0
Bard,Senna,55,41
Leona,Nocturne,55,20
Anivia,Zaahen,55,0
Aurora,Ornn,55,0
Syndra,Wukong,55,0
Aatrox,Lulu,55,0
Aatrox,Sivir,55,0
Aatrox,Yunara,55,0
Anivia,Yorick,55,0
Annie,Zaahen,55,0
Ezreal,Syndra,55,0
Jax,Ryze,55,0
Jax,Xin Zhao,55,0
Skarner,Vayne,55,0
Aatrox,Neeko,55,0
Jhin,Xayah,55,0
Milio,Ornn,55,0
Jarvan IV,LeBlanc,55,0
Lee Sin,Mel,55,0
Mel,Naafiri,55,0
Alistar,Rell,55,0
Jayce,Kai'Sa,55,0
Cassiopeia,Mel,55,0
Corki,Trundle,55,0
Lulu,Mel,55,0
Nami,Twisted Fate,55,0
Rakan,Sivir,55,0
Nocturne,Xayah,54,19
Nocturne,Ornn,54,16
Azir,Nocturne,54,12
Bard,Syndra,54,0
Galio,Neeko,54,0
Jarvan IV,Syndra,54,0
Skarner,Zaahen,54,0
Aatrox,Orianna,54,0
Galio,Lulu,54,0
Vayne,Vi,54,0
Ezreal,Jax,54,0
Gwen,Orianna,54,0
Gwen,Ryze,54,0
Gwen,Vi,54,0
Ahri,Mel,54,0
Jax,Sion,54,0
LeBlanc,Sion,54,0
Akali,Rell,54,0
Naafiri,Twisted Fate,54,0
Azir,Skarner,54,0
Trundle,Twisted Fate,54,0
Bard,LeBlanc,54,0
Jayce,Mel,54,0
Leona,Rumble,54,0
Miss Fortune,Orianna,54,0
Miss Fortune,Varus,54,0
Alistar,Trundle,54,0
Renekton,Xayah,54,0
Jhin,Zaahen,54,0
Senna,Seraphine,53,40
Senna,Wukong,53,38
Anivia,Galio,53,0
Braum,Xin Zhao,53,0
Aatrox,Nami,53,0
Lulu,Vayne,53,0
Vayne,Yunara,53,0
Jax,Milio,53,0
Skarner,Yorick,53,0
Trundle,Yorick,53,0
Aatrox,Cassiopeia,53,0
Braum,Ezreal,53,0
Kai'Sa,Rell,53,0
Ryze,Sylas,53,0
Ahri,LeBlanc,53,0
Anivia,Mel,53,0
Ashe,Leona,53,0
LeBlanc,Seraphine,53,0
Mel,Nami,53,0
Milio,Sylas,53,0
Varus,Xayah,53,0
Xin Zhao,Yone,53,0
Akali,Taliyah,53,0
Azir,Jhin,53,0
Jayce,Miss Fortune,53,0
Gwen,Rumble,53,0
Lulu,Miss Fortune,53,0
Miss Fortune,Yunara,53,0
Gnar,Leona,53,0
Karma,Leona,53,0
Ryze,Senna,52,35
Galio,Gnar,52,0
Gnar,Ornn,52,0
Jarvan IV,Smolder,52,0
Kai'Sa,Nami,52,0
Nami,Ornn,52,0
Neeko,Zaahen,52,0
Ornn,Sivir,52,0
Aatrox,Ambessa,52,0
Annie,Galio,52,0
Ahri,Syndra,52,0
Orianna,Vayne,52,0
Aatrox,Jhin,52,0
Skarner,Xayah,52,0
Aurora,Sylas,52,0
Caitlyn,Sylas,52,0
Kai'Sa,Naafiri,52,0
Ambessa,Xayah,52,0
Corki,Rakan,52,0
Ezreal,Yone,52,0
Galio,Naafiri,52,0
Jarvan IV,Jax,52,0
Leona,Milio,52,0
Leona,Varus,52,0
Leona,Viktor,52,0
Naafiri,Xayah,52,0
Sylas,Viktor,52,0
Rakan,Rell,52,0
Akali,Xayah,52,0
Gwen,Neeko,52,0
Jarvan IV,Shen,52,0
Annie,Mel,52,0
Aurora,Azir,52,0
Azir,Lulu,52,0
Azir,Vi,52,0
K'Sante,LeBlanc,52,0
Miss Fortune,Skarner,52,0
Azir,Yunara,52,0
Cassiopeia,Sylas,52,0
Mel,Yunara,52,0
Renekton,Yorick,52,0
Rumble,Sylas,52,0
Naafiri,Zaahen,52,0
Ornn,Renekton,52,0
Nocturne,Sylas,51,19
Cassiopeia,Ornn,51,0
Kai'Sa,Sivir,51,0
Kai'Sa,Skarner,51,0
Neeko,Ornn,51,0
Seraphine,Syndra,51,0
Galio,Vi,51,0
Nami,Vayne,51,0
Alistar,Skarner,51,0
Aurora,Gwen,51,0
Sylas,Yunara,51,0
Alistar,Corki,51,0
Alistar,Rakan,51,0
LeBlanc,Ryze,51,0
Lee Sin,Xayah,51,0
Leona,Lucian,51,0
Galio,Jhin,51,0
Shen,Xin Zhao,51,0
Sivir,Twisted Fate,51,0
Skarner,Taliyah,51,0
Skarner,Twisted Fate,51,0
Azir,Viktor,51,0
Varus,Yorick,51,0
Bard,Jax,51,0
LeBlanc,Rumble,51,0
Akali,Miss Fortune,51,0
Annie,Miss Fortune,51,0
Jayce,Leona,51,0
Miss Fortune,Neeko,51,0
Anivia,Miss Fortune,51,0
Galio,Renekton,51,0
Gnar,Sylas,51,0
Miss Fortune,Nami,51,0
Renekton,Zaahen,51,0
Xayah,Yunara,51,0
Kai'Sa,Renekton,51,0
Gnar,Senna,50,35
Nocturne,Vayne,50,17
Anivia,Kai'Sa,50,0
Braum,Wukong,50,0
Cassiopeia,Kai'Sa,50,0
Galio,Yunara,50,0
Kai'Sa,Lee Sin,50,0
Nautilus,Syndra,50,0
Sivir,Zaahen,50,0
Aatrox,Rakan,50,0
Anivia,Vayne,50,0
Aurora,Jax,50,0
Caitlyn,Vayne,50,0
Galio,Orianna,50,0
Jax,Lucian,50,0
Jax,Orianna,50,0
Orianna,Zaahen,50,0
Aatrox,Naafiri,50,0
Ambessa,Sylas,50,0
Gwen,Yunara,50,0
Anivia,Xayah,50,0
LeBlanc,Lucian,50,0
LeBlanc,Vi,50,0
LeBlanc,Wukong,50,0
Lee Sin,Taliyah,50,0
Leona,Vi,50,0
Nautilus,Shen,50,0
Akali,Yorick,50,0
Nami,Yorick,50,0
Karma,LeBlanc,50,0
Miss Fortune,Rell,50,0
Miss Fortune,Sivir,50,0
Nocturne,Senna,49,46
Milio,Senna,49,35
Ashe,Senna,49,34
Rumble,Senna,49,34
Ahri,Senna,49,34
Gwen,Nocturne,49,15
LeBlanc,Nocturne,49,14
Sion,Syndra,49,0
Syndra,Viktor,49,0
Corki,Taliyah,49,0
Sivir,Vayne,49,0
Jhin,Ornn,49,0
Neeko,Vayne,49,0
Sivir,Yorick,49,0
Corki,Rell,49,0
Gwen,Lulu,49,0
Lucian,Sylas,49,0
Sylas,Vi,49,0
Ambessa,Leona,49,0
Ashe,LeBlanc,49,0
Kai'Sa,Rakan,49,0
LeBlanc,Milio,49,0
Sylas,Varus,49,0
Gnar,Gwen,49,0
Gwen,Jhin,49,0
Gwen,K'Sante,49,0
Jayce,Vayne,49,0
Jhin,Kai'Sa,49,0
Azir,Nami,49,0
Nautilus,Olaf,49,0
Gnar,LeBlanc,49,0
Caitlyn,Leona,49,0
Ahri,Azir,49,0
Jayce,Zaahen,49,0
Varus,Zaahen,49,0
Azir,Jayce,49,0
Senna,Varus,48,37
Akali,Kai'Sa,48,0
Bard,Smolder,48,0
Braum,Jarvan IV,48,0
Braum,Nautilus,48,0
Corki,Ornn,48,0
Galio,Lee Sin,48,0
Galio,Nami,48,0
Galio,Sivir,48,0
Lee Sin,Zaahen,48,0
Ashe,Syndra,48,0
Ashe,Jax,48,0
Jax,Nautilus,48,0
Jax,Seraphine,48,0
Lucian,Syndra,48,0
Lulu,Syndra,48,0
Lulu,Sylas,48,0
Alistar,Taliyah,48,0
Ezreal,Smolder,48,0
Jarvan IV,Yone,48,0
Karma,Yone,48,0
Ezreal,Shen,48,0
Galio,Jayce,48,0
Gwen,Sivir,48,0
Jayce,Xayah,48,0
Shen,Sion,48,0
Mel,Skarner,48,0
LeBlanc,Pantheon,48,0
Gwen,Viktor,48,0
K'Sante,Sylas,48,0
Renekton,Sylas,48,0
Ornn,Rakan,48,0
Annie,Xayah,48,0
Aurora,Senna,47,37
Orianna,Senna,47,35
Karma,Senna,47,35
Senna,Vi,47,35
Lucian,Senna,47,33
Jhin,Senna,47,32
Ambessa,Ornn,47,0
Hwei,Karma,47,0
Hwei,Nautilus,47,0
Karma,Smolder,47,0
Lee Sin,Ornn,47,0
Nami,Syndra,47,0
Smolder,Wukong,47,0
Aatrox,Corki,47,0
Annie,Kai'Sa,47,0
Galio,Trundle,47,0
Jax,Karma,47,0
Jax,Rumble,47,0
Jax,Wukong,47,0
Caitlyn,Gwen,47,0
Gwen,Naafiri,47,0
Leona,Nami,47,0
Ahri,Shen,47,0
Akali,Twisted Fate,47,0
Cassiopeia,Gwen,47,0
Gwen,Varus,47,0
Corki,Yorick,47,0
Leona,Neeko,47,0
Rakan,Zaahen,47,0
K'Sante,Senna,46,32
Jayce,Senna,46,32
Caitlyn,Senna,46,31
Aurora,Smolder,46,0
Galio,Skarner,46,0
Hwei,Xin Zhao,46,0
Orianna,Syndra,46,0
Aatrox,Skarner,46,0
Jhin,Vayne,46,0
Gwen,Skarner,46,0
Naafiri,Sylas,46,0
Ashe,Yone,46,0
Aurora,LeBlanc,46,0
Jax,Vi,46,0
LeBlanc,Orianna,46,0
LeBlanc,Viktor,46,0
Leona,Naafiri,46,0
Nautilus,Yone,46,0
Rumble,Yone,46,0
Caitlyn,Shen,46,0
Seraphine,Shen,46,0
Shen,Vi,46,0
Azir,Naafiri,46,0
Corki,Twisted Fate,46,0
Olaf,Xin Zhao,46,0
Jax,Pantheon,46,0
Akali,Sylas,46,0
Ambessa,Azir,46,0
Azir,Renekton,46,0
Taliyah,Trundle,46,0
Pantheon,Syndra,46,0
Aatrox,Jayce,46,0
Leona,Yunara,46,0
Rakan,Twisted Fate,46,0
Pantheon,Senna,45,34
Cassiopeia,Senna,45,32
Akali,Galio,45,0
Akali,Ornn,45,0
Akali,Zaahen,45,0
Corki,Galio,45,0
Hwei,Jarvan IV,45,0
Nami,Zaahen,45,0
Nautilus,Smolder,45,0
Syndra,Yunara,45,0
Aatrox,Akali,45,0
Aatrox,Annie,45,0
Sivir,Xayah,45,0
Jax,Varus,45,0
Lee Sin,Leona,45,0
Naafiri,Vayne,45,0
Azir,Sivir,45,0
Ezreal,Olaf,45,0
Jarvan IV,Olaf,45,0
Olaf,Seraphine,45,0
Twisted Fate,Yorick,45,0
Alistar,Miss Fortune,45,0
K'Sante,Smolder,45,0
Jhin,Sylas,45,0
Corki,Miss Fortune,45,0
Renekton,Vayne,45,0
Aatrox,Lee Sin,45,0
Hwei,Rumble,45,0
Leona,Renekton,45,0
Gnar,Jax,45,0
Trundle,Xayah,45,0
Jayce,Sylas,45,0
Senna,Viktor,44,33
Senna,Skarner,44,31
Ambessa,Senna,44,30
Aurora,Braum,44,0
Braum,Sion,44,0
Braum,Viktor,44,0
Corki,Zaahen,44,0
Gnar,Syndra,44,0
Jarvan IV,Malphite,44,0
Annie,Vayne,44,0
Jax,K'Sante,44,0
K'Sante,Syndra,44,0
Trundle,Zaahen,44,0
Aatrox,Alistar,44,0
Alistar,Xayah,44,0
Ambessa,Gwen,44,0
Kai'Sa,Leona,44,0
Lee Sin,Vayne,44,0
Rakan,Taliyah,44,0
Sion,Yone,44,0
Gwen,Jayce,44,0
Lucian,Shen,44,0
Ryze,Shen,44,0
Akali,Mel,44,0
Bard,Olaf,44,0
Lucian,Olaf,44,0
Olaf,Sion,44,0
Rumble,Shen,44,0
Shen,Viktor,44,0
Cassiopeia,LeBlanc,44,0
Olaf,Wukong,44,0
Ezreal,Maokai,44,0
Leona,Skarner,44,0
Maokai,Xin Zhao,44,0
Mel,Rell,44,0
Miss Fortune,Trundle,44,0
Neeko,Sylas,44,0
Shen,Wukong,44,0
Rell,Zaahen,44,0
Aatrox,Anivia,44,0
Xin Zhao,Ziggs,44,0
Aurora,Syndra,43,0
Braum,Karma,43,0
Malphite,Nautilus,43,0
Sion,Smolder,43,0
Ahri,Jax,43,0
Ashe,Hwei,43,0
Braum,K'Sante,43,0
Braum,Ryze,43,0
Skarner,Sylas,43,0
LeBlanc,Nautilus,43,0
Ryze,Smolder,43,0
Seraphine,Yone,43,0
Bard,Yone,43,0
Ashe,Shen,43,0
Karma,Shen,43,0
Milio,Shen,43,0
Orianna,Shen,43,0
Azir,Neeko,43,0
Azir,Varus,43,0
Mel,Trundle,43,0
Olaf,Ryze,43,0
Jhin,Leona,43,0
Maokai,Nautilus,43,0
Maokai,Sion,43,0
Pantheon,Smolder,43,0
Azir,Orianna,43,0
Gwen,Renekton,43,0
Maokai,Seraphine,43,0
Ezreal,Sejuani,43,0
Jax,Jhin,43,0
Leona,Lulu,43,0
Senna,Yunara,42,33
Renekton,Senna,42,30
Neeko,Senna,42,29
Aurora,Hwei,42,0
Corki,Kai'Sa,42,0
Ornn,Skarner,42,0
Smolder,Viktor,42,0
Corki,Vayne,42,0
Kai'Sa,Trundle,42,0
Milio,Syndra,42,0
Trundle,Vayne,42,0
Alistar,Yorick,42,0
Braum,Orianna,42,0
Aatrox,Kai'Sa,42,0
Aatrox,Rell,42,0
Corki,Sylas,42,0
Gwen,Nami,42,0
Nami,Sylas,42,0
Ahri,Smolder,42,0
Alistar,Kai'Sa,42,0
Alistar,Mel,42,0
Braum,Seraphine,42,0
Ezreal,Pyke,42,0
Galio,Rakan,42,0
Jax,Viktor,42,0
LeBlanc,Naafiri,42,0
LeBlanc,Nami,42,0
Lucian,Yone,42,0
Milio,Yone,42,0
Vi,Yone,42,0
Wukong,Yone,42,0
K'Sante,Yone,42,0
Akali,Vayne,42,0
Alistar,Twisted Fate,42,0
Bard,Shen,42,0
Cassiopeia,Shen,42,0
Akali,Azir,42,0
Annie,Azir,42,0
Ashe,Olaf,42,0
Milio,Olaf,42,0
