source,target,teams_using_both,teams_using_pair_with_op_context
Jhin,Ryze,118,0
Gnar,Lucian,118,0
Ashe,Nocturne,117,33
Ambessa,Sion,117,0
K'Sante,Lulu,117,0
Ashe,Aurora,117,0
Cassiopeia,Seraphine,117,0
Nautilus,Orianna,117,0
Seraphine,Yunara,117,0
Bard,Lulu,117,0
Lucian,Viktor,117,0
Pantheon,Vi,117,0
Pantheon,Viktor,117,0
Nautilus,Varus,117,0
Renekton,Sion,117,0
Nocturne,Wukong,116,35
Caitlyn,Nautilus,116,0
Wukong,Yunara,116,0
Ashe,Caitlyn,116,0
Ahri,Vi,116,0
Karma,Lulu,116,0
Karma,Vi,116,0
Ashe,Cassiopeia,116,0
Caitlyn,K'Sante,116,0
Caitlyn,Milio,116,0
K'Sante,Orianna,116,0
Ryze,Yunara,116,0
Milio,Vi,116,0
Gnar,Milio,116,0
Jhin,Rumble,116,0
Nocturne,Rumble,115,38
Ambessa,Karma,115,0
Aurora,Gnar,115,0
Cassiopeia,Nautilus,115,0
Orianna,Wukong,115,0
Aurora,Vi,115,0
Ashe,Lulu,115,0
Caitlyn,Lucian,115,0
Cassiopeia,Lucian,115,0
Cassiopeia,Rumble,115,0
Lucian,Lulu,115,0
Lulu,Ryze,115,0
Orianna,Ryze,115,0
Ahri,Pantheon,115,0
Bard,Orianna,115,0
Jarvan IV,Naafiri,115,0
Gnar,Pantheon,115,0
Jarvan IV,Jayce,115,0
K'Sante,Nocturne,114,41
Bard,Neeko,114,0
Bard,Yunara,114,0
Karma,Yunara,114,0
Nami,Sion,114,0
Annie,Ezreal,114,0
Annie,Xin Zhao,114,0
Ahri,Rumble,114,0
Ambessa,Seraphine,114,0
Cassiopeia,Milio,114,0
Jhin,Lucian,114,0
Jhin,Milio,114,0
Naafiri,Seraphine,114,0
Akali,Jarvan IV,113,0
Cassiopeia,Wukong,113,0
Renekton,Seraphine,113,0
Aurora,Lulu,113,0
Lulu,Wukong,113,0
Lulu,Rumble,113,0
Orianna,Vi,113,0
Ahri,Gnar,113,0
Jayce,Seraphine,113,0
Ambessa,Aurora,112,0
Ambessa,Wukong,112,0
Anivia,Xin Zhao,112,0
Cassiopeia,Gnar,112,0
Gnar,Yunara,112,0
Renekton,Wukong,112,0
Lulu,Nautilus,112,0
Ambessa,Ashe,112,0
Cassiopeia,K'Sante,112,0
Lucian,Orianna,112,0
Neeko,Ryze,112,0
Naafiri,Nautilus,112,0
Bard,Varus,112,0
Gnar,K'Sante,112,0
Jhin,Seraphine,112,0
Caitlyn,Nocturne,111,32
Ambessa,Bard,111,0
Gnar,Viktor,111,0
K'Sante,Yunara,111,0
Ambessa,Ryze,111,0
Anivia,Ezreal,111,0
Ashe,Yunara,111,0
Lulu,Milio,111,0
Ashe,Jhin,111,0
Caitlyn,Pantheon,111,0
K'Sante,Viktor,111,0
Lulu,Pantheon,111,0
Seraphine,Varus,111,0
Sion,Varus,111,0
Karma,Varus,111,0
Jayce,Sion,111,0
Ahri,Nocturne,110,38
Ambessa,Nautilus,110,0
Aurora,Caitlyn,110,0
Caitlyn,Gnar,110,0
Caitlyn,Viktor,110,0
Sivir,Xin Zhao,110,0
Vi,Wukong,110,0
Ahri,Orianna,110,0
Ambessa,Lucian,110,0
Lucian,Yunara,110,0
Ryze,Varus,110,0
Varus,Wukong,110,0
Akali,Ezreal,110,0
Renekton,Ryze,110,0
Gnar,Nocturne,109,32
Akali,Xin Zhao,109,0
Anivia,Sion,109,0
Aurora,Viktor,109,0
Aurora,Yunara,109,0
Nami,Seraphine,109,0
Annie,Sion,109,0
Ezreal,Sivir,109,0
Vi,Yunara,109,0
Ezreal,Skarner,109,0
Milio,Orianna,109,0
Jhin,Pantheon,109,0
Ashe,Varus,109,0
Neeko,Rumble,109,0
Jayce,Milio,109,0
Jhin,Nautilus,109,0
Nocturne,Viktor,108,37
Anivia,Jarvan IV,108,0
Jarvan IV,Skarner,108,0
Karma,Neeko,108,0
Lee Sin,Sion,108,0
Nautilus,Yunara,108,0
Skarner,Xin Zhao,108,0
Ambessa,K'Sante,108,0
Lulu,Vi,108,0
Ambessa,Milio,108,0
Ahri,Viktor,108,0
Caitlyn,Vi,108,0
Jhin,K'Sante,108,0
K'Sante,Neeko,108,0
Lucian,Neeko,108,0
Bard,Naafiri,108,0
Nami,Ryze,108,0
Pantheon,Yunara,108,0
Ezreal,Lee Sin,108,0
Bard,Jayce,108,0
Gnar,Lulu,108,0
Jayce,Rumble,108,0
Bard,Renekton,108,0
Nautilus,Renekton,108,0
Caitlyn,Cassiopeia,107,0
Nami,Wukong,107,0
Viktor,Yunara,107,0
Karma,Renekton,107,0
Ahri,Aurora,107,0
Annie,Jarvan IV,107,0
Orianna,Rumble,107,0
Gnar,Vi,107,0
Jayce,Ryze,107,0
Naafiri,Rumble,107,0
Aurora,Nocturne,106,33
Bard,Nami,106,0
Jarvan IV,Sivir,106,0
Nautilus,Neeko,106,0
K'Sante,Nami,106,0
Ambessa,Rumble,106,0
Anivia,Seraphine,106,0
Aurora,Orianna,106,0
Milio,Yunara,106,0
Ashe,Neeko,106,0
Cassiopeia,Pantheon,106,0
Jhin,Wukong,106,0
Lulu,Viktor,106,0
Neeko,Pantheon,106,0
Vi,Viktor,106,0
Ambessa,Pantheon,106,0
Nami,Pantheon,106,0
Neeko,Seraphine,106,0
Ashe,Jayce,106,0
Gnar,Jayce,106,0
Jayce,Lucian,106,0
Lucian,Renekton,106,0
Renekton,Rumble,106,0
Nocturne,Pantheon,105,30
Ahri,Lulu,105,0
Ahri,Yunara,105,0
Ahri,Caitlyn,105,0
Orianna,Yunara,105,0
Jhin,Viktor,105,0
Neeko,Vi,105,0
Ashe,Naafiri,105,0
Aurora,Naafiri,105,0
Naafiri,Ryze,105,0
Aurora,Renekton,105,0
Nocturne,Vi,104,30
Cassiopeia,Viktor,104,0
Karma,Sivir,104,0
Lee Sin,Xin Zhao,104,0
Nami,Nautilus,104,0
Neeko,Wukong,104,0
Sion,Skarner,104,0
Lulu,Orianna,104,0
Milio,Neeko,104,0
Lee Sin,Lucian,104,0
Lee Sin,Milio,104,0
Varus,Viktor,104,0
Gnar,Jhin,104,0
Jayce,Nautilus,104,0
K'Sante,Renekton,104,0
Akali,Sion,103,0
Ambessa,Gnar,103,0
Bard,Lee Sin,103,0
Ashe,Nami,103,0
Ashe,Renekton,103,0
Ahri,Cassiopeia,103,0
Annie,Rumble,103,0
Ahri,Jhin,103,0
Aurora,Jhin,103,0
K'Sante,Naafiri,103,0
