match_id,date,patch,op_losing_team,op_losing_team_picks,op_champions_in_losing_team,winning_opponent,winning_opponent_picks
NLC/2026 Season/Spring Playoffs_Finals_1_2,2026-06-05 17:00:00,26.11,Ruddy Corporation,Aurora + Kassadin + Nocturne + Rakan + Sivir,Nocturne,Verdant,Gangplank + Nautilus + Senna + Taliyah + Xin Zhao
LCS/2026 Season/Spring Playoffs_Round 2_1_1,2026-06-06 20:09:00,26.11,FlyQuest,Cassiopeia + Ezreal + Jayce + Neeko + Nocturne,Nocturne,Team Liquid,Jarvan IV + Orianna + Rakan + Sion + Xayah
Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Round 2_1_3,2026-06-07 12:00:00,26.10,Priority,Bard + Pantheon + Senna + Shen + Taliyah,Senna,Andromeda Gaming,Ahri + Nami + Nocturne + Riven + Varus
LCS/2026 Season/Spring Playoffs_Round 2_2_1,2026-06-07 20:11:00,26.11,Cloud9,Nautilus + Nocturne + Senna + Sion + Ziggs,Nocturne,LYON (2024 American Team),Lucian + Milio + Renekton + Ryze + Wukong
EMEA Masters/2026 Season/Spring Play-In_Round 1_1_1,2026-06-08 15:12:00,26.11,Partizan Sangal,Ezreal + K'Sante + Leona + Nocturne + Viktor,Nocturne,Karmine Corp Blue,Cassiopeia + Jhin + Nautilus + Pantheon + Rumble
EMEA Masters/2026 Season/Spring Play-In_Round 2_4_1,2026-06-08 16:35:00,26.11,Bomba Team,Aurora + Caitlyn + Neeko + Nocturne + Varus,Nocturne,Ruddy Corporation,Ezreal + Orianna + Rakan + Sion + Wukong
EMEA Masters/2026 Season/Spring Play-In_Round 3_3_1,2026-06-08 18:04:00,26.11,Otter Side,Jhin + K'Sante + Nautilus + Nocturne + Ryze,Nocturne,Bomba Team,Anivia + Corki + Rell + Rumble + Wukong
EMEA Masters/2026 Season/Spring Play-In_Round 3_6_1,2026-06-08 18:05:00,26.11,FN Esports,Akali + Caitlyn + Irelia + Nautilus + Nocturne,Nocturne,Frites Esports Club,Anivia + Bard + Ezreal + Skarner + Twisted Fate
Esports World Cup 2026/Online Qualifiers/South America_Round 2_1_3,2026-06-08 21:06:00,26.11,LØS,Galio + Jayce + Mel + Nocturne + Pyke,Nocturne,Vivo Keyd Stars,Ashe + Aurora + Jarvan IV + Leona + Yorick
2026 Asia Masters_Day 2_2_2,2026-06-09 08:41:00,26.11,Bilibili Gaming Junior,Jayce + Nocturne + Sivir + Sylas + Tahm Kench,Nocturne,T1 Esports Academy,Ahri + Alistar + Vi + Yorick + Yunara
Liga Regional Sur/2026 Season/Split 1 Playoffs_Finals_1_1,2026-06-09 20:07:00,26.11,Golden Lions,Anivia + Leona + Nocturne + Shen + Varus,Nocturne,Volticons,Aatrox + Karma + Ryze + Sion + Sivir
Esports World Cup 2026/Online Qualifiers/South America_Round 2_4_1,2026-06-10 21:23:00,26.11,paiN Gaming,Gnar + Nocturne + Rakan + Viktor + Xayah,Nocturne,LØS,Jarvan IV + Lucian + Milio + Orianna + Sylas
EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_2_3,2026-06-11 16:43:00,26.11,G2 NORD,Akali + Alistar + Ambessa + Ezreal + Nocturne,Nocturne,Galions,Ahri + Renata Glasc + Rumble + Varus + Wukong
EMEA Masters/2026 Season/Spring Main Event_Groups Day 2_8_2,2026-06-11 18:31:00,26.11,Partizan Sangal,Ahri + Aphelios + Milio + Nocturne + Vayne,Nocturne,WLGaming Esports,Annie + Jarvan IV + K'Sante + Lucian + Yuumi
Esports World Cup 2026/Online Qualifiers/South America_Round 3_1_2,2026-06-11 22:14:00,26.11,LOUD,Annie + Kalista + Nocturne + Renata Glasc + Sion,Nocturne,LØS,Gwen + Nautilus + Pantheon + Senna + Viktor
2026 Asian Games/Qualifier_Day 1_1_1,2026-06-12 05:10:00,26.11,Malaysia (National Team),Akali + Nocturne + Olaf + Rakan + Varus,Nocturne,Hong Kong (National Team),Bard + Cassiopeia + Jayce + Jhin + Trundle
2026 Asian Games/Qualifier_Day 2_1_1,2026-06-13 05:10:00,26.11,Pakistan (National Team),Ahri + K'Sante + Karma + Nocturne + Varus,Nocturne,United Arab Emirates (National Team),Ezreal + Jayce + Lee Sin + Rumble + Zoe
LJL/2026 Season/Spring Series_Semifinals_1_2,2026-06-13 09:09:00,26.11,Arneb,Ambessa + Brand + Leona + Nocturne + Viktor,Nocturne,Rising Gaming,Alistar + K'Sante + Pantheon + Ryze + Yunara
VCS/2026 Season/Summer Playoffs_Round 2_1_1,2026-06-13 10:07:00,26.11,ZEN Esports (Vietnamese Team),Caitlyn + Cassiopeia + Lux + Nocturne + Sion,Nocturne,Saigon Warriors,Akali + Jayce + Pantheon + Rakan + Ziggs
EMEA Masters/2026 Season/Spring Main Event_Quarterfinals_2_3,2026-06-13 16:35:00,26.11,Solary,Aphelios + Lulu + Nocturne + Ryze + Yorick,Nocturne,G2 NORD,Blitzcrank + Jarvan IV + Rumble + Taliyah + Yunara
Esports World Cup 2026/Online Qualifiers/South America_Round 4_2_2,2026-06-13 17:03:00,26.11,Vivo Keyd Stars,Ashe + Nocturne + Seraphine + Sion + Sylas,Nocturne,LØS,Ahri + Gwen + Rakan + Wukong + Xayah
LCS/2026 Season/Spring Playoffs_Round 3_1_1,2026-06-13 20:15:00,26.11,Cloud9,Anivia + Ashe + Nocturne + Seraphine + Sion,Nocturne,Team Liquid,Lee Sin + Rakan + Ryze + Xayah + Zaahen
LCK/2026 Season/Road to MSI_Round 4_1_4,2026-06-14 09:36:00,26.11,T1,Gnar + Lissandra + Lulu + Nocturne + Yunara,Nocturne,Gen.G,Ahri + Ezreal + Gangplank + Karma + Xin Zhao
VCS/2026 Season/Summer Playoffs_Round 1_3_1,2026-06-14 10:13:00,26.11,Saigon Dino,Nocturne + Rell + Renekton + Ryze + Varus,Nocturne,SN CyberCore Esports,Jarvan IV + Jax + Jhin + Nautilus + Orianna
Hitpoint 2nd Division Challengers/2026 Season/Spring Playoffs_Finals_1_4,2026-06-14 12:59:00,26.11,Priority,Ambessa + Aurora + Neeko + Nocturne + Sivir,Nocturne,Ethereal Enigmas,Gnar + Kalista + Nautilus + Ryze + Shyvana
EMEA Masters/2026 Season/Spring Main Event_Semifinals_1_1,2026-06-14 15:01:00,26.11,UCAM Esports,Ahri + Ezreal + Jayce + Neeko + Nocturne,Nocturne,Solary,Anivia + Annie + Lucian + Milio + Wukong
